index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	bcl11a_dich	batch	gluc_Res	intgluc	intgluc_Res
BCL11A_060	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_D08	1	1	plate01	fasted	8	D	H08	101500	106800	104150	3.598335	NA	90450	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	1.406206	3.994904	H	8	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	104150	5300	1.052217	85	0	1	-3.491522	-1.402673	-1.402673
BCL11A_052	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_D07	1	1	plate01	fasted	7	D	H07	160400	139000	149700	10.10827	NA	136000	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.199729	6.249231	H	7	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	149700	21400	.8665835	86	0	1	-1.255311	-.1121376	-.295179
BCL11A_044	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_D06	1	1	plate01	fasted	6	D	H06	127400	120900	124150	3.70213	NA	110450	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	1.754625	4.98473	H	6	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	124150	6500	.9489796	87	0	1	-2.53793	-1.028805	-.9555776
BCL11A_036	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_D05	1	1	plate01	fasted	5	D	H05	167100	165600	166350	.6376076	NA	152650	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.489788	7.073261	H	5	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	166350	1500	.9910234	88	0	1	-.4675148	.1121376	.0671924
BCL11A_028	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_D04	1	2	plate01	fasted	4	D	H04	150100	140500	145300	4.671869	NA	131600	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.123077	6.03147	H	4	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	145300	9600	.9360427	89	1	1	-1.527423	-.295179	-.4887764
BCL11A_020	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_D03	1	1	plate01	fasted	3	D	H03	222000	211900	216950	3.291901	NA	203250	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.371287	9.577519	H	3	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	216950	10100	.9545045	90	0	1	2.00051	.8226373	.7613826
BCL11A_012	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_D02	1	2	plate01	fasted	2	D	H02	339500	327200	333350	2.609094	NA	319650	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	5.399083	15.3383	H	2	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	333350	12300	.9637703	91	1	1	7.743176	1.699178	1.699178
BCL11A_004	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_D01	1	1	plate01	fasted	1	D	H01	195900	183700	189800	4.545154	NA	176100	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.898309	8.233831	H	1	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	189800	12200	.9377233	92	0	1	.6205887	.390146	.4389272
BCL11A_061	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_E08	1	1	plate01	fasted	8	E	J08	88180	84130	86155	3.323989	NA	72455	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	1.092717	3.104309	J	8	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	86155	4050	.9540712	108	0	1	-4.798801	-1.534121	-1.534121
BCL11A_053	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_E07	1	1	plate01	fasted	7	E	J07	155300	136500	145900	9.111451	NA	132200	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.13353	6.061165	J	7	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	145900	18800	.878944	109	0	1	-1.860061	-.2028072	-.7613826
BCL11A_045	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_E06	1	1	plate01	fasted	6	E	J06	157900	155000	156450	1.310712	NA	142750	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.317321	6.583298	J	6	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	156450	2900	.981634	110	0	1	-1.356045	-.0223825	-.390146
BCL11A_037	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_E05	1	1	plate01	fasted	5	E	J05	243400	285200	264300	11.18315	NA	250600	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	4.196167	11.92093	J	5	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	264300	41800	1.171734	111	0	1	3.963471	1.402673	1.291794
BCL11A_021	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_E03	1	1	plate01	fasted	3	E	J03	137100	97160	117130	24.11154	NA	103430	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	1.63233	4.637301	J	3	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	117130	39940	.7086798	112	0	1	-3.338275	-1.194857	-1.291794
BCL11A_013	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_E02	1	2	plate01	fasted	2	E	J02			93050		NA	79350	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	1.212834		J	2	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	93050	77700	.4109174	113	1	1			
BCL11A_005	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_E01	1	1	plate01	fasted	1	E	J01	213600	196900	205250	5.753317	NA	191550	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.167462	8.998471	J	1	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	205250	16700	.9218165	114	0	1	.9866616	.5924169	.5924169
BCL11A_062	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_F08	1	1	plate01	fasted	8	F	L08	246200	257600	251900	3.200086	NA	238200	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.980148	11.30724	L	8	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	251900	11400	1.046304	129	0	1	3.02368	1.194857	1.028805
BCL11A_054	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_F07	1	1	plate01	fasted	7	F	L07	160000	101800	130900	31.43897	NA	117200	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	1.872216	5.318796	L	7	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	130900	58200	.63625	130	0	1	-2.982881	-.8871465	-1.108011
BCL11A_038	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_F05	1	1	plate01	fasted	5	F	L05	174600	169300	171950	2.179509	NA	158250	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.587345	7.350412	L	5	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	171950	5300	.9696449	131	0	1	-.9693808	.1573107	-.2028072
BCL11A_030	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_F04	1	2	plate01	fasted	4	F	L04	24970	28450	26710	9.212772	NA	13010	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	.0571297	.1623003	L	4	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	26710	3480	1.139367	132	1	1	-8.17561	-1.930286	-1.930286
BCL11A_022	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_F03	1	1	plate01	fasted	3	F	L03	496300	491800	494050	.6440604	NA	480350	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	8.198626	23.29155	L	3	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	494050	4500	.9909329	133	0	1	14.93552	2.368567	2.368567
BCL11A_014	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_F02	1	2	plate01	fasted	2	F	L02			198650		NA	184950	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.052484		L	2	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7		123700		134	1	1			
BCL11A_006	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_F01	1	1	plate01	fasted	1	F	L01	235800	147400	191600	32.62434	NA	177900	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.929666	8.322916	L	1	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	191600	88400	.625106	135	0	1	-.0693438	.4389272	.295179
BCL11A_063	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_G08	1	1	plate01	fasted	8	G	N08	195200	190000	192600	1.909115	NA	178900	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.947087	8.372407	N	8	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	192600	5200	.9733607	150	0	1	-.2916031	.4887764	.1121376
BCL11A_055	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_G07	1	1	plate01	fasted	7	G	N07			154600		NA	140900	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.285092		N	7	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	154600	96600	.5239034	151	0	1			
BCL11A_047	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_G06	1	1	plate01	fasted	6	G	N06	152200	133600	142900	9.203769	NA	129200	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.081267	5.912691	N	6	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	142900	18600	.8777924	152	0	1	-2.787553	-.4389272	-1.028805
BCL11A_039	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_G05	1	1	plate01	fasted	5	G	N05	141300	136100	138700	2.651013	NA	125000	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.008099	5.704827	N	5	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	138700	5200	.9631988	153	0	1	-3.013533	-.6466521	-1.194857
BCL11A_031	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_G04	1	2	plate01	fasted	4	G	N04	20620	26870	23745	18.61199	NA	10045	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	.0054767	.0155587	N	4	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	23745	6250	1.303104	154	1	1	-8.720918	-2.368567	-2.368567
BCL11A_023	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_G03	1	1	plate01	fasted	3	G	N03	427300	442200	434750	2.423437	NA	421050	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	7.165565	20.35672	N	3	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	434750	14900	1.03487	155	0	1	11.60212	1.930286	1.930286
BCL11A_015	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_G02	1	2	plate01	fasted	2	G	N02			180250		NA	166550	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.731939		N	2	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7		115300		156	1	1			
BCL11A_007	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_G01	1	1	plate01	fasted	1	G	N01	245900	220700	233300	7.637845	NA	219600	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.656119	10.3867	N	1	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	233300	25200	.8975193	157	0	1	1.595875	.8871465	.6466521
BCL11A_064	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_H08	1	1	plate01	fasted	8	H	P08	217100	197600	207350	6.649907	NA	193650	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.204046	9.102403	P	8	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	207350	19500	.9101796	172	0	1	.0398258	.6466521	.3422765
BCL11A_056	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_H07	1	1	plate01	fasted	7	H	P07	186400	160400	173400	10.60252	NA	159700	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.612605	7.422174	P	7	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	173400	26000	.860515	173	0	1	-1.658519	.2028072	-.5398714
BCL11A_048	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_H06	1	1	plate01	fasted	6	H	P06	193800	184500	189150	3.476655	NA	175450	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.886985	8.201662	P	6	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	189150	9300	.9520124	174	0	1	-.8971482	.3422765	-.0671924
BCL11A_040	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_H05	1	1	plate01	fasted	5	H	P05	161100	160500	160800	.2638458	NA	147100	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.393102	6.798584	P	5	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	160800	600	.9962756	175	0	1	-2.318342	.0223825	-.8871465
BCL11A_024	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_H03	1	1	plate01	fasted	3	H	P03	267900	238000	252950	8.358368	NA	239250	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.99844	11.35921	P	3	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	252950	29900	.8883912	176	0	1	2.224162	1.291794	.8226373
BCL11A_016	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_H02	1	2	plate01	fasted	2	H	P02			380650		NA	366950	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	6.223093		P	2	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7		205500		177	1	1			
BCL11A_008	20230830_GGTassay_7dpf_BCL11A_fasted_plate01_H01	1	1	plate01	fasted	1	H	P01	253800	242600	248200	3.190812	NA	234500	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.915691	11.12412	P	1	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	BCL11A	fasted	1	7	248200	11200	.9558707	178	0	1	1.952845	1.108011	.7028602
