index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	gcg_dich	batch	gluc_Res	intgluc	intgluc_Res
GCG_105	20231122_GGTassay_7dpf_GCG_fasted_plate04_A02	1	1	plate04	fasted	2	A	B14	137700	168100	152900	14.05889	NA	140352.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.357368	9.537976	B	14	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	152900	30400	1.22077	28	0	1	-.8195595	.4383796	.0348213
GCG_097	20231122_GGTassay_7dpf_GCG_fasted_plate04_A01	1	2	plate04	fasted	1	A	B13	213000	215900	214450	.9562181	NA	201902.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	4.87221	13.84151	B	13	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	214450	2900	1.013615	29	1	1	3.477875	1.206103	1.024592
GCG_081	20231122_GGTassay_7dpf_GCG_fasted_plate03_A11	2	2	plate03	fasted	11	A	B11	110200	103900	107050	4.161395	NA	94502.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.228927	6.332179	B	11	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	107050	6300	.9428312	30	1	1	-1.398852	-.5324066	-.2033149
GCG_073	20231122_GGTassay_7dpf_GCG_fasted_plate03_A10	2	1	plate03	fasted	10	A	B10	114400	102300	108350	7.896624	NA	95802.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.260922	6.423074	B	10	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	108350	12100	.8942308	31	0	1	-1.314052	-.5005801	-.1749599
GCG_065	20231122_GGTassay_7dpf_GCG_fasted_plate03_A09	2	2	plate03	fasted	9	A	B09	128200	118700	123450	5.441486	NA	110902.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.632557	7.478855	B	9	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	123450	9500	.9258971	32	1	1	-.2643668	-.146745	.2894694
GCG_057	20231122_GGTassay_7dpf_GCG_fasted_plate03_A08	2	1	plate03	fasted	8	A	B08	88300	85930	87115	1.923714	NA	74567.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	1.738295	4.938339	B	8	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	87115	2370	.9731597	33	0	1	-2.810978	-1.123769	-.7188681
GCG_049	20231122_GGTassay_7dpf_GCG_fasted_plate03_A07	2	2	plate03	fasted	7	A	B07	101800	103200	102500	.9658044	NA	89952.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.116944	6.014047	B	7	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	102500	1400	1.013752	34	1	1	-1.741365	-.7009514	-.3186394
GCG_041	20231122_GGTassay_7dpf_GCG_fasted_plate03_A06	2	2	plate03	fasted	6	A	B06	207700	199200	203450	2.954243	NA	190902.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	4.601483	13.07239	B	6	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	203450	8500	.9590756	35	1	1	5.310888	1.097959	1.297543
GCG_033	20231122_GGTassay_7dpf_GCG_fasted_plate03_A05	2	2	plate03	fasted	5	A	B05	117000	109800	113400	4.489567	NA	100852.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.385211	6.776166	B	5	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	113400	7200	.9384615	36	1	1	-.9914355	-.3778318	-.0348213
GCG_025	20231122_GGTassay_7dpf_GCG_fasted_plate03_A04	2	1	plate03	fasted	4	A	B04	121700	117300	119500	2.603573	NA	106952.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.535341	7.202673	B	4	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	119500	4400	.9638456	37	0	1	-.5710235	-.2318344	.1891184
GCG_017	20231122_GGTassay_7dpf_GCG_fasted_plate03_A03	2	2	plate03	fasted	3	A	B03	159800	149500	154650	4.709473	NA	142102.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.400438	9.660335	B	3	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	154650	10300	.9355444	38	1	1	1.880543	.484857	.7370185
GCG_009	20231122_GGTassay_7dpf_GCG_fasted_plate03_A02	1	1	plate03	fasted	2	A	B02	104800	93060	98930	8.39122	NA	86382.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.029081	5.764435	B	2	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	98930	11740	.8879771	39	0	1	-4.660147	-.8122178	-1.56892
GCG_001	20231122_GGTassay_7dpf_GCG_fasted_plate03_A01	1	2	plate03	fasted	1	A	B01	211900	195400	203650	5.729075	NA	191102.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	4.606405	13.08638	B	1	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	203650	16500	.9221331	40	1	1	2.655701	1.123769	.871771
GCG_090	20231122_GGTassay_7dpf_GCG_fasted_plate03_B12	2	1	plate03	fasted	12	B	C20	75140	71750	73445	3.263792	NA	60897.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	1.401855	3.982543	C	20	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	73445	3390	.9548842	58	0	1	-3.919151	-1.672405	-1.150349
GCG_186	20231122_GGTassay_7dpf_GCG_fasted_plate04_B12	2	1	plate04	fasted	12	B	C21	76980	77140	77060	.1468169	NA	64512.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	1.490826	4.235301	C	21	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	77060	160	1.002078	59	0	1	-3.672488	-1.56892	-1.097959
GCG_178	20231122_GGTassay_7dpf_GCG_fasted_plate04_B11	2	2	plate04	fasted	11	B	D23	79530	78340	78935	1.066013	NA	66387.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	1.536973	4.3664	D	23	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	78935	1190	.9850371	60	1	1	-3.547484	-1.365098	-1.024592
GCG_170	20231122_GGTassay_7dpf_GCG_fasted_plate04_B10	2	1	plate04	fasted	10	B	D22	96410	96710	96560	.2196894	NA	84012.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	1.970752	5.598726	D	22	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	96560	300	1.003112	61	0	1	-2.321253	-.9132499	-.5164279
GCG_162	20231122_GGTassay_7dpf_GCG_fasted_plate04_B09	2	2	plate04	fasted	9	B	D21	154900	174000	164450	8.212672	NA	151902.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.641631	10.34554	D	21	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	164450	19100	1.123305	62	1	1	2.419469	.6144941	.8122178
GCG_154	20231122_GGTassay_7dpf_GCG_fasted_plate04_B08	2	1	plate04	fasted	8	B	D20	110900	119600	115250	5.337812	NA	102702.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.430742	6.905517	D	20	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	115250	8700	1.078449	63	0	1	-1.026653	-.3333251	-.0627068
GCG_146	20231122_GGTassay_7dpf_GCG_fasted_plate04_B07	2	2	plate04	fasted	7	B	D19	113600	118900	116250	3.223799	NA	103702.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.455353	6.975436	D	19	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	116250	5300	1.046655	64	1	1	-.9628285	-.304022	-.0208901
GCG_138	20231122_GGTassay_7dpf_GCG_fasted_plate04_B06	2	2	plate04	fasted	6	B	D18	121500	119100	120300	1.410687	NA	107752.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.55503	7.258609	D	18	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	120300	2400	.9802469	65	1	1	-.6857509	-.2175525	.1046335
GCG_130	20231122_GGTassay_7dpf_GCG_fasted_plate04_B05	2	2	plate04	fasted	5	B	D17	99930	109300	104615	6.333308	NA	92067.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.168998	6.161926	D	17	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	104615	9370	1.093766	66	1	1	-1.788529	-.5977601	-.3333251
GCG_122	20231122_GGTassay_7dpf_GCG_fasted_plate04_B04	2	1	plate04	fasted	4	B	D16	61460	61380	61420	.0921012	NA	48872.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	1.105901	3.141764	D	16	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	61420	80	.9986984	67	0	1	-4.814786	-2.200411	-1.672405
GCG_114	20231122_GGTassay_7dpf_GCG_fasted_plate04_B03	2	2	plate04	fasted	3	B	D15	243000	240900	241950	.6137319	NA	229402.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	5.549028	15.76429	D	15	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	241950	2100	.991358	68	1	1	7.80164	1.522924	1.618497
GCG_106	20231122_GGTassay_7dpf_GCG_fasted_plate04_B02	1	1	plate04	fasted	2	B	D14			137875		NA	125327.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.987579		D	14	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7		136250		69	0	1			
GCG_098	20231122_GGTassay_7dpf_GCG_fasted_plate04_B01	1	2	plate04	fasted	1	B	D13	177600	177500	177550	.0398258	NA	165002.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.964043	11.26149	D	13	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	177550	100	.9994369	70	1	1	.6479561	.7930001	.5164279
GCG_082	20231122_GGTassay_7dpf_GCG_fasted_plate03_B11	2	2	plate03	fasted	11	B	D11	147200	139600	143400	3.747567	NA	130852.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.123558	8.873743	D	11	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	143400	7600	.9483696	71	1	1	.8928127	.2605436	.5647817
GCG_074	20231122_GGTassay_7dpf_GCG_fasted_plate03_B10	2	1	plate03	fasted	10	B	D10	154300	153700	154000	.2754962	NA	141452.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.38444	9.614887	D	10	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	154000	600	.9961115	72	0	1	1.627862	.4692529	.665774
GCG_066	20231122_GGTassay_7dpf_GCG_fasted_plate03_B09	2	2	plate03	fasted	9	B	D09	69630	73180	71405	3.515481	NA	58857.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	1.351647	3.839908	D	9	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	71405	3550	1.050984	73	1	1	-4.153213	-1.797715	-1.23544
GCG_058	20231122_GGTassay_7dpf_GCG_fasted_plate03_B08	2	1	plate03	fasted	8	B	D08	124300	127700	126000	1.908066	NA	113452.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.695316	7.657149	D	8	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	126000	3400	1.027353	74	0	1	-.3420668	-.0766665	.2461637
GCG_050	20231122_GGTassay_7dpf_GCG_fasted_plate03_B07	2	2	plate03	fasted	7	B	D07	138300	156700	147500	8.820857	NA	134952.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.224465	9.160413	D	7	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	147500	18400	1.133044	75	1	1	1.155102	.3333251	.5811919
GCG_042	20231122_GGTassay_7dpf_GCG_fasted_plate03_B06	2	2	plate03	fasted	6	B	D06	196000	191000	193500	1.827149	NA	180952.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	4.356597	12.3767	D	6	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	193500	5000	.9744898	76	1	1	4.365292	1.024592	1.177769
GCG_034	20231122_GGTassay_7dpf_GCG_fasted_plate03_B05	2	2	plate03	fasted	5	B	D05	193600	196900	195250	1.19511	NA	182702.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	4.399668	12.49906	D	5	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	195250	3300	1.017045	77	1	1	4.481555	1.048422	1.206103
GCG_026	20231122_GGTassay_7dpf_GCG_fasted_plate03_B04	2	1	plate03	fasted	4	B	D04	162300	157300	159800	2.212474	NA	147252.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.527188	10.02042	D	4	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	159800	5000	.9691929	78	0	1	1.996823	.5977601	.7740709
GCG_018	20231122_GGTassay_7dpf_GCG_fasted_plate03_B03	2	2	plate03	fasted	3	B	D03	219300	228700	224000	2.967323	NA	211452.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	5.107251	14.50923	D	3	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	224000	9400	1.042864	79	1	1	6.479543	1.297543	1.522924
GCG_010	20231122_GGTassay_7dpf_GCG_fasted_plate03_B02	1	1	plate03	fasted	2	B	D02	130200	124700	127450	3.051461	NA	114902.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.731003	7.758532	D	2	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	127450	5500	.9577573	80	0	1	-2.915949	-.0348213	-.7370185
GCG_002	20231122_GGTassay_7dpf_GCG_fasted_plate03_B01	1	2	plate03	fasted	1	B	D01	343700	341000	342350	.5576715	NA	329802.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	8.02003	22.78418	D	1	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	342350	2700	.9921443	81	1	1	12.1036	2.200411	2.200411
GCG_091	20231122_GGTassay_7dpf_GCG_fasted_plate03_C12	2	1	plate03	fasted	12	C	E20	113800	111800	112800	1.253735	NA	100252.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.370444	6.734215	E	20	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	112800	2000	.9824253	99	0	1	-1.417378	-.4003634	-.2175525
GCG_187	20231122_GGTassay_7dpf_GCG_fasted_plate04_C12	2	1	plate04	fasted	12	C	E21	105600	94840	100220	7.591767	NA	87672.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.06083	5.85463	E	21	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	100220	10760	.898106	100	0	1	-2.303058	-.7930001	-.5005801
GCG_179	20231122_GGTassay_7dpf_GCG_fasted_plate04_C11	2	2	plate04	fasted	11	C	F23	108600	97140	102870	7.877363	NA	90322.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.126051	6.039917	F	23	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	102870	11460	.8944752	101	1	1	-2.123867	-.6314019	-.4079188
GCG_171	20231122_GGTassay_7dpf_GCG_fasted_plate04_C10	2	1	plate04	fasted	10	C	F22	84880	84180	84530	.585561	NA	71982.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	1.674674	4.757598	F	22	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	84530	700	.991753	102	0	1	-3.412281	-1.206103	-.9345893
GCG_163	20231122_GGTassay_7dpf_GCG_fasted_plate04_C09	2	2	plate04	fasted	9	C	F21	173300	181200	177250	3.151562	NA	164702.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.95666	11.24051	F	21	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	177250	7900	1.045586	103	1	1	3.064537	.7740709	.956363
GCG_155	20231122_GGTassay_7dpf_GCG_fasted_plate04_C08	2	1	plate04	fasted	8	C	F20	165400	171300	168350	2.478129	NA	155802.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.737617	10.61823	F	20	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	168350	5900	1.035671	104	0	1	2.43616	.6314019	.851585
GCG_147	20231122_GGTassay_7dpf_GCG_fasted_plate04_C07	2	2	plate04	fasted	7	C	F19	99610	101100	100355	1.049862	NA	87807.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.064152	5.86407	F	19	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	100355	1490	1.014958	105	1	1	-2.324094	-.7740709	-.5324066
GCG_139	20231122_GGTassay_7dpf_GCG_fasted_plate04_C06	2	2	plate04	fasted	6	C	F18	110800	110300	110550	.3198131	NA	98002.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.315068	6.576896	F	18	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	110550	500	.9954874	106	1	1	-1.617363	-.4383796	-.2605436
GCG_131	20231122_GGTassay_7dpf_GCG_fasted_plate04_C05	2	2	plate04	fasted	5	C	F17	85780	87030	86405	1.022954	NA	73857.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	1.720821	4.888696	F	17	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	86405	1250	1.014572	107	1	1	-3.311658	-1.150349	-.8923185
GCG_123	20231122_GGTassay_7dpf_GCG_fasted_plate04_C04	2	1	plate04	fasted	4	C	F16	76430	77700	77065	1.165283	NA	64517.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	1.490949	4.235651	F	16	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	77065	1270	1.016616	108	0	1	-3.970798	-1.522924	-1.206103
GCG_115	20231122_GGTassay_7dpf_GCG_fasted_plate04_C03	2	2	plate04	fasted	3	C	F15	127700	125400	126550	1.285141	NA	114002.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.708853	7.695604	F	15	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	126550	2300	.981989	109	1	1	-.5169398	-.0557317	.2175525
GCG_107	20231122_GGTassay_7dpf_GCG_fasted_plate04_C02	1	1	plate04	fasted	2	C	F14			121880		NA	109332.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.593917		F	14	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	121880	87840	.4702051	110	0	1			
GCG_099	20231122_GGTassay_7dpf_GCG_fasted_plate04_C01	1	2	plate04	fasted	1	C	F13	265200	276200	270700	2.873356	NA	258152.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	6.256611	17.77446	F	13	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	270700	11000	1.041478	111	1	1	6.911035	1.672405	1.56892
GCG_083	20231122_GGTassay_7dpf_GCG_fasted_plate03_C11	2	2	plate03	fasted	11	C	F11	183800	188300	186050	1.710282	NA	173502.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	4.173241	11.8558	F	11	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	GCG	fasted	1	7	186050	4500	1.024483	112	1	1	3.624969	.9132499	1.097959
