index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	lmna_dich	batch	gluc_Res	intgluc	intgluc_Res
LMNA_010	20230830_GGTassay_7dpf_LMNA_fasted_plate02_B02	2	2	plate02	fasted	2	B	C03	230400	215600	223000	4.692906	NA	209300	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.476683	9.876942	C	3	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	223000	14800	.9357639	26	1	1	-2.507903	-.4235761	-.2981024
LMNA_018	20230830_GGTassay_7dpf_LMNA_fasted_plate02_B03	2	1	plate02	fasted	3	B	C05	315400	306000	310700	2.1393	NA	297000	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	5.004498	14.21733	C	5	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	310700	9400	.9701966	28	0	1	1.804083	.2573935	.3393116
LMNA_026	20230830_GGTassay_7dpf_LMNA_fasted_plate02_B04	2	2	plate02	fasted	4	B	C07	317700	312400	315050	1.189546	NA	301350	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	5.08028	14.43261	C	7	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	315050	5300	.9833176	30	1	1	1.990973	.2981024	.4235761
LMNA_034	20230830_GGTassay_7dpf_LMNA_fasted_plate02_B05	2	1	plate02	fasted	5	B	C09	327000	343600	335300	3.500737	NA	321600	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	5.433053	15.43481	C	9	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	335300	16600	1.050765	32	0	1	2.964773	.6992833	.6992833
LMNA_042	20230830_GGTassay_7dpf_LMNA_fasted_plate02_B06	2	2	plate02	fasted	6	B	C14	299500	275600	287550	5.877187	NA	273850	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	4.601204	13.0716	C	14	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	287550	23900	.9202003	34	1	1	.5731681	.0980721	.217107
LMNA_050	20230830_GGTassay_7dpf_LMNA_fasted_plate02_B07	2	1	plate02	fasted	7	B	C16	256700	228500	242600	8.21946	NA	228900	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.818134	10.84697	C	16	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	242600	28200	.8901441	36	0	1	-1.679862	-.2573935	-.1771698
LMNA_058	20230830_GGTassay_7dpf_LMNA_fasted_plate02_B08	2	1	plate02	fasted	8	B	C18	267300	284100	275700	4.308812	NA	262000	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	4.394766	12.48513	C	18	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	275700	16800	1.062851	37	0	1	-.0558999	.0195843	.0980721
LMNA_066	20230830_GGTassay_7dpf_LMNA_fasted_plate02_B09	2	1	plate02	fasted	9	B	C20	350700	312100	331400	8.236066	NA	317700	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	5.365112	15.24179	C	20	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	331400	38600	.8899344	38	0	1	2.686565	.6024495	.5561256
LMNA_003	20230830_GGTassay_7dpf_LMNA_fasted_plate02_C01	2	1	plate02	fasted	1	C	E01	259900	240200	250050	5.570887	NA	236350	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.947919	11.21568	E	1	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	250050	19700	.9242016	47	0	1	-1.467339	-.0980721	-.0587829
LMNA_011	20230830_GGTassay_7dpf_LMNA_fasted_plate02_C02	2	2	plate02	fasted	2	C	E03	262900	257500	260200	1.467478	NA	246500	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	4.124742	11.71802	E	3	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	260200	5400	.9794599	49	1	1	-.9934002	-.0587829	-.0195843
LMNA_019	20230830_GGTassay_7dpf_LMNA_fasted_plate02_C03	2	1	plate02	fasted	3	C	E05	243600	233100	238350	3.115008	NA	224650	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.744095	10.63663	E	5	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	238350	10500	.9568965	51	0	1	-2.103183	-.2981024	-.2573935
LMNA_027	20230830_GGTassay_7dpf_LMNA_fasted_plate02_C04	2	2	plate02	fasted	4	C	E07	481600	494300	487950	1.840405	NA	474250	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	8.092358	22.98965	E	7	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	487950	12700	1.02637	53	1	1	10.22144	1.366204	1.473468
LMNA_035	20230830_GGTassay_7dpf_LMNA_fasted_plate02_C05	2	1	plate02	fasted	5	C	E09	390400	369300	379850	3.927854	NA	366150	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	6.209156	17.63965	E	9	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	379850	21100	.9459529	55	0	1	4.843037	.8584844	1.043158
LMNA_043	20230830_GGTassay_7dpf_LMNA_fasted_plate02_C06	2	2	plate02	fasted	6	C	E14	255100	230700	242900	7.10309	NA	229200	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.82336	10.86182	E	14	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	242900	24400	.9043512	57	1	1	-1.96319	-.217107	-.217107
LMNA_051	20230830_GGTassay_7dpf_LMNA_fasted_plate02_C07	2	1	plate02	fasted	7	C	E16	173900	159300	166600	6.196734	NA	152900	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.494143	7.085634	E	16	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	166600	14600	.9160437	59	0	1	-5.767771	-1.272699	-1.189164
LMNA_059	20230830_GGTassay_7dpf_LMNA_fasted_plate02_C08	2	1	plate02	fasted	8	C	E18	165300	181800	173550	6.722709	NA	159850	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.615219	7.429598	E	18	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	173550	16500	1.099818	60	0	1	-5.438005	-1.189164	-.9778975
LMNA_067	20230830_GGTassay_7dpf_LMNA_fasted_plate02_C09	2	1	plate02	fasted	9	C	E20	211500	189500	200500	7.758778	NA	186800	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.084713	8.763388	E	20	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	200500	22000	.8959811	61	0	1	-4.118415	-.7502154	-.6992833
LMNA_004	20230830_GGTassay_7dpf_LMNA_fasted_plate02_D01	2	1	plate02	fasted	1	D	G01	171500	181800	176650	4.122955	NA	162950	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.669224	7.583021	G	1	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	176650	10300	1.060058	70	0	1	-5.42657	-1.113194	-.9165567
LMNA_012	20230830_GGTassay_7dpf_LMNA_fasted_plate02_D02	2	2	plate02	fasted	2	D	G03	323600	341000	332300	3.702575	NA	318600	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	5.380791	15.28634	G	3	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	332300	17400	1.05377	72	1	1	2.248348	.650104	.5109658
LMNA_020	20230830_GGTassay_7dpf_LMNA_fasted_plate02_D03	2	1	plate02	fasted	3	D	G05	344400	304300	324350	8.742094	NA	310650	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	5.242294	14.89288	G	5	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	324350	40100	.8835656	74	0	1	1.826494	.4235761	.3811055
LMNA_028	20230830_GGTassay_7dpf_LMNA_fasted_plate02_D04	2	2	plate02	fasted	4	D	G07	227100	219700	223400	2.342252	NA	209700	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.483652	9.896738	G	7	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	223400	7400	.9674152	76	1	1	-3.198046	-.3811055	-.4668251
LMNA_036	20230830_GGTassay_7dpf_LMNA_fasted_plate02_D05	2	1	plate02	fasted	5	D	G09	200700	196600	198650	1.45942	NA	184950	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.052484	8.671829	G	9	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	198650	4100	.9795715	78	0	1	-4.451353	-.8031726	-.8584844
LMNA_044	20230830_GGTassay_7dpf_LMNA_fasted_plate02_D06	2	2	plate02	fasted	6	D	G14	144900	153700	149300	4.167809	NA	135600	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.192761	6.229435	G	14	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	149300	8800	1.060732	80	1	1	-6.922145	-1.601009	-1.366204
LMNA_052	20230830_GGTassay_7dpf_LMNA_fasted_plate02_D07	2	1	plate02	fasted	7	D	G16	219300	209700	214500	3.164674	NA	200800	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.328605	9.456265	G	16	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	214500	9600	.9562243	82	0	1	-3.723712	-.4668251	-.6024495
LMNA_060	20230830_GGTassay_7dpf_LMNA_fasted_plate02_D08	2	1	plate02	fasted	8	D	G18	174700	241900	208300	22.81209	NA	194600	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.220596	9.14942	G	18	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	208300	67200	1.384659	83	0	1	-4.044756	-.5561256	-.650104
LMNA_068	20230830_GGTassay_7dpf_LMNA_fasted_plate02_D09	2	1	plate02	fasted	9	D	G20	351900	309700	330800	9.020528	NA	317100	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	5.354659	15.2121	G	20	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	330800	42200	.8800796	84	0	1	2.003725	.5109658	.4668251
LMNA_005	20230830_GGTassay_7dpf_LMNA_fasted_plate02_E01	2	1	plate02	fasted	1	E	I01	406100	394400	400250	2.066995	NA	386550	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	6.564543	18.64927	I	1	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	400250	11700	.9711894	93	0	1	5.313105	1.113194	1.113194
LMNA_013	20230830_GGTassay_7dpf_LMNA_fasted_plate02_E02	2	2	plate02	fasted	2	E	I03	559600	629100	594350	8.268516	NA	580650	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	9.945945	28.25552	I	3	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	594350	69500	1.124196	95	1	1	14.89096	2.417559	2.417559
LMNA_021	20230830_GGTassay_7dpf_LMNA_fasted_plate02_E03	2	1	plate02	fasted	3	E	I05	270500	257500	264000	3.481965	NA	250300	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	4.190941	11.90608	I	5	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	264000	13000	.9519408	97	0	1	-1.486876	-.0195843	-.0980721
LMNA_029	20230830_GGTassay_7dpf_LMNA_fasted_plate02_E04	2	2	plate02	fasted	4	E	I07	204500	207500	206000	1.029767	NA	192300	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.180528	9.03559	I	7	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	206000	3000	1.01467	99	1	1	-4.385767	-.6024495	-.8031726
LMNA_037	20230830_GGTassay_7dpf_LMNA_fasted_plate02_E05	2	1	plate02	fasted	5	E	I09	306000	303800	304900	.5102115	NA	291200	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	4.903457	13.93028	I	9	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	304900	2200	.9928104	101	0	1	.4805212	.217107	.1771698
LMNA_045	20230830_GGTassay_7dpf_LMNA_fasted_plate02_E06	2	2	plate02	fasted	6	E	I14	148000	161400	154700	6.124907	NA	141000	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.286834	6.496688	I	14	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	154700	13400	1.090541	103	1	1	-6.981464	-1.473468	-1.473468
LMNA_053	20230830_GGTassay_7dpf_LMNA_fasted_plate02_E07	2	1	plate02	fasted	7	E	I16	242300	248400	245350	1.75804	NA	231650	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.866041	10.98307	I	16	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	245350	6100	1.025175	105	0	1	-2.523479	-.1771698	-.3393116
LMNA_061	20230830_GGTassay_7dpf_LMNA_fasted_plate02_E08	2	1	plate02	fasted	8	E	I18	130700	134000	132350	1.763092	NA	118650	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	1.897476	5.390558	I	18	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	132350	3300	1.025249	106	0	1	-8.130191	-1.76167	-1.76167
LMNA_069	20230830_GGTassay_7dpf_LMNA_fasted_plate02_E09	2	1	plate02	fasted	9	E	I20	26140	27800	26970	4.352233	NA	13270	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	.0616592	.1751681	I	20	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	26970	1660	1.063504	107	0	1	-13.35978	-2.417559	-2.417559
LMNA_006	20230830_GGTassay_7dpf_LMNA_fasted_plate02_F01	2	1	plate02	fasted	1	F	K01			148040		NA	134340	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.170811		K	1	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7		130320		115	0	1			
LMNA_014	20230830_GGTassay_7dpf_LMNA_fasted_plate02_F02	2	2	plate02	fasted	2	F	K03	426200	487500	456850	9.487938	NA	443150	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	7.550567	21.45047	K	3	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	456850	61300	1.143829	117	1	1	7.773538	1.272699	1.272699
LMNA_022	20230830_GGTassay_7dpf_LMNA_fasted_plate02_F03	2	1	plate02	fasted	3	F	K05	313600	281300	297450	7.67845	NA	283750	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	4.773671	13.56157	K	5	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	297450	32300	.8970026	119	0	1	-.1437668	.1771698	.0587829
LMNA_030	20230830_GGTassay_7dpf_LMNA_fasted_plate02_F04	2	2	plate02	fasted	4	F	K07	407100	389400	398250	3.142697	NA	384550	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	6.529701	18.55029	K	7	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	398250	17700	.9565217	121	1	1	4.816555	.9778975	.9778975
LMNA_038	20230830_GGTassay_7dpf_LMNA_fasted_plate02_F05	2	1	plate02	fasted	5	F	K09	388600	387400	388000	.2186928	NA	374300	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	6.351136	18.043	K	9	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	388000	1200	.996912	123	0	1	4.280873	.9165567	.8584844
LMNA_046	20230830_GGTassay_7dpf_LMNA_fasted_plate02_F06	2	2	plate02	fasted	6	F	K14	127000	122300	124650	2.666187	NA	110950	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	1.763335	5.009475	K	14	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	124650	4700	.9629921	125	1	1	-8.781051	-1.987428	-1.987428
LMNA_054	20230830_GGTassay_7dpf_LMNA_fasted_plate02_F07	2	1	plate02	fasted	7	F	K16	249200	250100	249650	.2549153	NA	235950	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.940951	11.19588	K	16	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	249650	900	1.003612	127	0	1	-2.62304	-.1375134	-.3811055
LMNA_062	20230830_GGTassay_7dpf_LMNA_fasted_plate02_F08	2	1	plate02	fasted	8	F	K18	180100	197300	188700	6.445276	NA	175000	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.879146	8.179391	K	18	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	188700	17200	1.095502	128	0	1	-5.653731	-.9778975	-1.113194
LMNA_007	20230830_GGTassay_7dpf_LMNA_fasted_plate02_G01	2	1	plate02	fasted	1	G	M01			212285		NA	198585	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	3.290018		M	1	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7		344830		136	0	1			
LMNA_015	20230830_GGTassay_7dpf_LMNA_fasted_plate02_G02	2	2	plate02	fasted	2	G	M03	470500	541700	506100	9.947837	NA	492400	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	8.408547	23.88792	M	3	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	506100	71200	1.151328	138	1	1	9.91281	1.473468	1.366204
LMNA_023	20230830_GGTassay_7dpf_LMNA_fasted_plate02_G03	2	1	plate02	fasted	3	G	M05	407700	342300	375000	12.33194	NA	361300	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	6.124664	17.39961	M	5	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	375000	65400	.8395879	140	0	1	3.396106	.7502154	.8031726
LMNA_031	20230830_GGTassay_7dpf_LMNA_fasted_plate02_G04	2	2	plate02	fasted	4	G	M07	563600	565100	564350	.1879437	NA	550650	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	9.423317	26.77079	M	7	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	564350	1500	1.002661	142	1	1	12.73888	1.76167	1.76167
LMNA_039	20230830_GGTassay_7dpf_LMNA_fasted_plate02_G05	2	1	plate02	fasted	5	G	M09	579400	575600	577500	.4652824	NA	563800	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	9.652402	27.4216	M	9	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	577500	3800	.9934415	144	0	1	13.36129	1.987428	1.987428
LMNA_047	20230830_GGTassay_7dpf_LMNA_fasted_plate02_G06	2	2	plate02	fasted	6	G	M14	417400	382000	399700	6.262592	NA	386000	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	6.554961	18.62205	M	14	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	399700	35400	.9151893	146	1	1	4.533349	1.043158	.9165567
LMNA_055	20230830_GGTassay_7dpf_LMNA_fasted_plate02_G07	2	1	plate02	fasted	7	G	M16	334200	258100	296150	18.17013	NA	282450	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	4.751024	13.49723	M	16	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	296150	76100	.772292	148	0	1	-.6198708	.1375134	.0195843
LMNA_063	20230830_GGTassay_7dpf_LMNA_fasted_plate02_G08	2	1	plate02	fasted	8	G	M18	153100	178700	165900	10.91135	NA	152200	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	2.481948	7.05099	M	18	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7	165900	25600	1.167211	149	0	1	-7.080307	-1.366204	-1.601009
LMNA_008	20230830_GGTassay_7dpf_LMNA_fasted_plate02_H01	2	1	plate02	fasted	1	H	O01			130750		NA	117050	.993219	y = 57402.2283335466 * x + ( 9730.62683690701 )	9730.627	57402.23	13700	2880000	1.869603		O	1	GTT_DAY5_GLUGLO_plate-01	1	20230830	GGTassay	LMNA	fasted	1	7		197300		158	0	1			
