index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	slc5a2_dich	batch	gluc_Res	intgluc	intgluc_Res
SLC5A2_081	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_A11	3	1	plate02	fasted	11	A	A23	204100	168500	186300	13.51208	NA	173573.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.611944	13.10211	A	23	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	186300	35600	.8255757	20	0	1	-4.36346	-.3266899	-.7533835
SLC5A2_002	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_B01	1	2	plate02	fasted	1	B	C13	162800	149300	156050	6.117233	NA	143323.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.76033	10.68276	C	13	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	156050	13500	.9170762	50	1	1	-4.692316	-1.079224	-.8372732
SLC5A2_010	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_B02	1	1	plate02	fasted	2	B	C14	227900	215400	221650	3.987744	NA	208923.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.607135	15.92936	C	14	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	221650	12500	.9451514	51	0	1	.545087	.1071952	.1689275
SLC5A2_018	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_B03	2	2	plate02	fasted	3	B	C15	305200	288400	296800	4.002491	NA	284073.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	7.722796	21.93976	C	15	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	296800	16800	.9449542	52	1	1	7.726019	.8814972	1.079224
SLC5A2_026	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_B04	2	1	plate02	fasted	4	B	C16	328400	292200	310300	8.249199	NA	297573.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	8.102855	23.01947	C	16	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	310300	36200	.8897686	53	0	1	8.796534	1.079224	1.195972
SLC5A2_034	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_B05	1	2	plate02	fasted	5	B	C17	250800	215000	232900	10.86922	NA	220173.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.923851	16.82912	C	17	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	232900	35800	.8572568	54	1	1	1.417248	.2946089	.3591108
SLC5A2_042	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_B06	1	1	plate02	fasted	6	B	C18	155200	143800	149500	5.391985	NA	136773.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.575932	10.1589	C	18	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	149500	11400	.9265464	55	0	1	-5.262176	-1.260977	-.9755887
SLC5A2_050	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_B07	2	2	plate02	fasted	7	B	C19	101200	92750	96975	6.161436	NA	84248.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.097221	5.958014	C	19	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	96975	8450	.916502	56	1	1	-8.292525	-2.090361	-1.873672
SLC5A2_058	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_B08	2	1	plate02	fasted	8	B	C20	176900	162400	169650	6.043648	NA	156923.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.143205	11.77047	C	20	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	169650	14500	.9180328	57	0	1	-2.489272	-.6554235	-.3266899
SLC5A2_066	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_B09	1	1	plate02	fasted	9	B	C21	309600	248900	279250	15.37024	NA	266523.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	7.228719	20.53613	C	21	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	279250	60700	.8039406	58	0	1	5.087463	.7533835	.8372732
SLC5A2_074	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_B10	2	1	plate02	fasted	10	B	C22	244100	206700	225400	11.73283	NA	212673.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.712707	16.22928	C	22	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	225400	37400	.8467841	59	0	1	1.951141	.1689275	.4930868
SLC5A2_082	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_B11	3	1	plate02	fasted	11	B	C23	216500	187800	202150	10.03906	NA	189423.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.058161	14.36978	C	23	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	202150	28700	.8674365	60	0	1	-3.463788	-.0764961	-.425144
SLC5A2_003	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_C01	1	2	plate02	fasted	1	C	E13	352900	347000	349950	1.19215	NA	337223.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	9.219102	26.19063	E	13	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	349950	5900	.9832814	92	1	1	10.42917	1.59929	1.720366
SLC5A2_011	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_C02	1	1	plate02	fasted	2	C	E14	350900	333800	342350	3.531919	NA	329623.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	9.005142	25.58279	E	14	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	342350	17100	.9512682	93	0	1	9.812126	1.41001	1.59929
SLC5A2_019	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_C03	2	2	plate02	fasted	3	C	E15	324400	320900	322650	.7670459	NA	309923.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	8.450538	24.00721	E	15	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	322650	3500	.9892108	94	1	1	9.407078	1.135663	1.331797
SLC5A2_027	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_C04	2	1	plate02	fasted	4	C	E16	238500	201200	219850	11.99685	NA	207123.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.55646	15.7854	E	16	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	219850	37300	.8436059	95	0	1	1.176067	.045869	.2946089
SLC5A2_035	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_C05	1	2	plate02	fasted	5	C	E17	183100	155900	169500	11.34708	NA	156773.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.138982	11.75847	E	17	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	169500	27200	.8514473	96	1	1	-4.039793	-.7133814	-.6365926
SLC5A2_043	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_C06	1	1	plate02	fasted	6	C	E18	346100	320600	333350	5.409096	NA	320623.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	8.75177	24.86298	E	18	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	333350	25500	.9263219	97	0	1	9.055518	1.260977	1.260977
SLC5A2_051	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_C07	2	2	plate02	fasted	7	C	E19	171500	148000	159750	10.40188	NA	147023.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.864495	10.97868	E	19	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	159750	23500	.8629737	98	1	1	-3.658252	-.9755887	-.5279112
SLC5A2_059	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_C08	2	1	plate02	fasted	8	C	E20	186200	156400	171300	12.3011	NA	158573.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.189656	11.90243	E	20	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	171300	29800	.8399571	99	0	1	-2.743698	-.5995885	-.3591108
SLC5A2_067	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_C09	1	1	plate02	fasted	9	C	E21	378200	300100	339150	16.28337	NA	326423.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	8.915054	25.32686	E	21	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	339150	78100	.7934955	100	0	1	9.491796	1.331797	1.49795
SLC5A2_075	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_C10	2	1	plate02	fasted	10	C	E22	165700	140600	153150	11.58889	NA	140423.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.678688	10.45082	E	22	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	153150	25100	.8485214	101	0	1	-4.213711	-1.135663	-.7133814
SLC5A2_083	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_C11	3	1	plate02	fasted	11	C	E23	241400	209600	225500	9.971617	NA	212773.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.715522	16.23728	E	23	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	225500	31800	.8682684	102	0	1	-1.982676	.200022	-.200022
SLC5A2_004	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_D01	1	2	plate02	fasted	1	D	G13	298400	298100	298250	.0711256	NA	285523.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	7.763617	22.05573	G	13	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	298250	300	.9989946	134	1	1	5.907876	.9755887	.8814972
SLC5A2_012	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_D02	1	1	plate02	fasted	2	D	G14	170500	145500	158000	11.1884	NA	145273.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.815228	10.83872	G	14	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	158000	25000	.8533725	135	0	1	-5.318339	-1.026029	-1.026029
SLC5A2_020	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_D03	2	2	plate02	fasted	3	D	G15	265900	260900	263400	1.342268	NA	250673.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	6.782502	19.26847	G	15	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	263400	5000	.9811959	136	1	1	4.28195	.563388	.7533835
SLC5A2_028	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_D04	2	1	plate02	fasted	4	D	G16	214000	182800	198400	11.11982	NA	185673.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.952589	14.06986	G	16	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	198400	31200	.8542056	137	0	1	-.9258665	-.1379956	-.0152849
SLC5A2_036	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_D05	1	2	plate02	fasted	5	D	G17	269400	210900	240150	17.22496	NA	227423.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	6.127956	17.40897	G	17	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	240150	58500	.7828508	138	1	1	1.224312	.3919137	.3266899
SLC5A2_044	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_D06	1	1	plate02	fasted	6	D	G18	194600	162500	178550	12.71248	NA	165823.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.393762	12.48228	G	18	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	178550	32100	.8350462	139	0	1	-3.711576	-.5279112	-.563388
SLC5A2_052	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_D07	2	2	plate02	fasted	7	D	G19	162800	129600	146200	16.05742	NA	133473.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.483028	9.894967	G	19	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	146200	33200	.7960688	140	1	1	-5.128355	-1.331797	-.9275163
SLC5A2_060	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_D08	2	1	plate02	fasted	8	D	G20	136800	106200	121500	17.80861	NA	108773.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.787661	7.919493	G	20	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	121500	30600	.7763158	141	0	1	-7.113029	-1.720366	-1.49795
SLC5A2_068	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_D09	1	1	plate02	fasted	9	D	G21	173100	112000	142550	30.30812	NA	129823.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.380272	9.603045	G	21	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	142550	61100	.6470249	142	0	1	-6.618409	-1.49795	-1.41001
SLC5A2_076	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_D10	2	1	plate02	fasted	10	D	G22	174900	147600	161250	11.97148	NA	148523.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.906723	11.09865	G	22	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	161250	27300	.8439108	143	0	1	-3.952275	-.9275163	-.5995885
SLC5A2_084	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_D11	3	1	plate02	fasted	11	D	G23	214500	159600	187050	20.7539	NA	174323.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.633058	13.1621	G	23	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	187050	54900	.7440559	144	0	1	-5.444248	-.2946089	-1.195972
SLC5A2_005	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_E01	1	2	plate02	fasted	1	E	I13	240900	239700	240300	.353112	NA	227573.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	6.132179	17.42096	I	13	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	240300	1200	.9950187	176	1	1	.8867171	.425144	.2628283
SLC5A2_013	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_E02	1	1	plate02	fasted	2	E	I14	229300	211600	220450	5.677382	NA	207723.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.573352	15.83339	I	14	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	220450	17700	.9228085	177	0	1	-.7100595	.0764961	.0764961
SLC5A2_021	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_E03	2	2	plate02	fasted	3	E	I15	175400	150100	162750	10.9922	NA	150023.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.948952	11.21861	I	15	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	162750	25300	.8557582	178	1	1	-4.154299	-.8814972	-.6744897
SLC5A2_029	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_E04	2	1	plate02	fasted	4	E	I16	217200	186800	202000	10.64161	NA	189273.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.053938	14.35778	I	16	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	202000	30400	.8600368	179	0	1	-1.024335	-.1071952	-.045869
SLC5A2_037	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_E05	1	2	plate02	fasted	5	E	I17	247500	210600	229050	11.3915	NA	216323.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.815464	16.5212	I	17	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	229050	36900	.8509091	180	1	1	-.0498432	.2628283	.1379956
SLC5A2_045	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_E06	1	1	plate02	fasted	6	E	I18	178600	156400	167500	9.371803	NA	154773.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.082677	11.59851	I	18	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	167500	22200	.8756999	181	0	1	-4.981731	-.7946292	-.8814972
SLC5A2_053	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_E07	3	2	plate02	fasted	7	E	I19	384800	349300	367050	6.83893	NA	354323.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	9.700509	27.55827	I	19	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	367050	35500	.9077443	182	1	1	8.602329	1.720366	1.135663
SLC5A2_061	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_E08	2	1	plate02	fasted	8	E	I20	252300	195300	223800	18.00942	NA	211073.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.667663	16.10131	I	20	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	223800	57000	.7740785	183	0	1	.6824024	.1379956	.231311
SLC5A2_069	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_E09	1	1	plate02	fasted	9	E	I21	400600	296100	348350	21.21219	NA	335623.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	9.174058	26.06266	I	21	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	348350	104500	.7391413	184	0	1	9.45482	1.49795	1.41001
SLC5A2_077	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_E10	2	1	plate02	fasted	10	E	I22	211100	168000	189550	16.07824	NA	176823.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.703439	13.36204	I	22	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	189550	43100	.7958314	185	0	1	-2.075267	-.231311	-.231311
SLC5A2_085	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_E11	3	1	plate02	fasted	11	E	I23	441500	344400	392950	17.47298	NA	380223.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	10.42966	29.62971	I	23	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	392950	97100	.7800679	186	0	1	10.63698	1.873672	1.873672
SLC5A2_006	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_F01	1	2	plate02	fasted	1	F	K13	281900	264700	273300	4.450141	NA	260573.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	7.061212	20.06026	K	13	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	273300	17200	.9389855	218	1	1	3.139624	.6365926	.7133814
SLC5A2_014	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_F02	1	1	plate02	fasted	2	F	K14	205900	184300	195100	7.828553	NA	182373.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.859686	13.80593	K	14	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	195100	21600	.8950947	219	0	1	-3.123911	-.1689275	-.3919137
SLC5A2_022	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_F03	2	2	plate02	fasted	3	F	K15	313000	281500	297250	7.49331	NA	284523.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	7.735465	21.97575	K	15	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	297250	31500	.899361	220	1	1	6.216448	.9275163	.9275163
SLC5A2_030	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_F04	2	1	plate02	fasted	4	F	K16			90160		NA	77433.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	1.905362		K	16	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	90160	146480	9.65721	221	0	1			
