filename	index	well	batch	tank	D	plate	Project	column	row	line	proj	Exp	date	VAST	age	time	tod	length	dorsal_area	lateral_area	eye_max_d	eye_mean_d	eye_min_d	eye_area	bent_back	curvature	angle	PCE	dorsal_tail	pig_dorsal_tail	pig_dorsal_tail_Res	dorsal_area_Res	lateral_area_Res	condition	intlength	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intangle	inteye_area	intbent_back	intcurvature	intPCE	intdorsal_tail	intpig_dorsal_tail	intpig_dorsal_tail_Res
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_B04	SD125	B04	1	2		1	Size	4	B	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 11:34:22	3.566667	3122.093	813087.8	1011014	327.7977	284.726	257.0313	63702.39	.025708	.0000128	161.2227	27155.76	427718.2	67216.49	-30430.73	36359.87	-15716.71	1	-1.332074	.0702058	1.059277	-1.376912	-.6892965	-.0672783	.9550503	-.6567159	-1.346845	1.794102	2.051381	-.6565128	.0360226
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_B05	SD133	B05	1	6		1	Size	5	B	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 11:33:09	3.55	3185.64	774657	1057789	290.5264	262.1838	240.625	54012.45	.0299582	.0000244	160.6688	14385.38	263901.4	67799.68	-57286.93	-15576.06	8845.456	0	-.8563738	-.8836861	-.1943975	-.7752326	.0657642	-.1737411	-.4704134	.2838633	-.6449811	.2523555	-1.782224	-.6387455	-.9789874
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_B07	SD149	B07	1	2		1	Size	7	B	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:35:55	4.583333	3398.576	811084	1104564	344.1972	289.5021	263.1946	65825.8	.0279919	.0000407	167.8956	9061.89	400293.3	61668.7	-40572.2	-24403.25	-18811.92	1	.7161794	.0327417	-.5826182	.1128968	-.7879745	.9521988	1.206533	-.1189651	.4048251	-.5555127	1.551885	-.8898187	-.438644
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_B08	SD157	B08	1	6		1	Size	8	B	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:34:39	4.566667	3154.24	750372.3	1079053	301.9302	263.7711	237.8906	54670.41	.0313553	.0000289	153.7735	7357.178	293255.3	89572.14	-30597.67	-33187.49	41085.36	0	-1.031644	-1.332074	-.9065182	-.3248186	.9378634	-.9077985	-.3632503	.5988957	-.3136487	-.7582926	-1.215598	.3300273	.0216105
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_B10	SD173	B10	1	2		1	Size	10	B	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:32:14	4.533333	3249.117	841709	1157260	296.5184	255.3987	226.9531	51231.08	.053914			22191.16				37985.38	86128.12	1	-.4392951	.6803725	1.075938	1.061661	2.222979		-.9476973	2.531313		1.48354			
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_B11	SD181	B11	1	6		1	Size	11	B	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:31:14	4.516667	3193.71	774716.8	1105521	309.5486	272.2839	248.8281	58229.37	.0295735	.0000411	152.7249	13069.46				-17231.45	53756.25	0	-.7780032	-.8699489	-.2523741	.1318144	1.185158	-1.047174	.1929286	.2347614	.4255243	.0769073			
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_C01	SD102	C01	1	3		1	Size	1	C	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 11:38:30	3.633333	3167.946	759105.3	1068944	302.3417	252.915	233.4286	50274.05	.0339283	.0000101	144.3104	17435.91				-27367.43	26185.75	1	-.9403951	-1.114825	-.7104202	-.552619	.5308747	-1.705385	-1.09758	.8456872	-1.633934	.7711585			
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_C02	SD110	C02	1	7		1	Size	2	C	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 11:39:34	3.65	3313.593	762664.2	1040323	306.2243	259.8048	232.4219	53055.42	.0249526	.0000268	162.0821	8822.632				-54762.2	-53346.88	0	-.0608326	-1.09758	-1.537953	-.9674216	-1.509833	.0096041	-.6511877	-.8188381	-.521135	-.5780677			
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_C04	SD126	C04	1	3		1	Size	4	C	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 11:41:46	3.683333	3085.412	773071.9	1001743	310.9794	274.4434	269.2052	59156.49	.0338228	.000028	153.9561	4755.249	367111.2	65317.38	-42481.54	4139.701	-12165.89	1	-1.429067	-.9259391	.422127	-1.453563	-.5857368	-.8791677	.3883444	.8321877	-.4151525	-1.116127	.7111174	-.748725	-.503031
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_C05	SD134	C05	1	7		1	Size	5	C	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 11:42:55	3.7	3189.322	739396.4	1068436	323.7855	286.7448	274.6609	64599.61	.0350845	.0000264	157.368	11155.4	331521.6	46445.92	-67314.27	-51619.23	18205.23	0	-.8035762	-1.641246	-1.479159	-.5746278	.2854742	-.5221979	1.089078	1.054472	-.5430125	-.2227183	-.0504421	-1.421497	-1.346439
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_C07	SD150	C07	1	3		1	Size	7	C	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:37:21	4.616667	3273.407	797266.9	1045706	349.402	298.2826	279.6742	69893.19	.0317636	.0000577	164.2194	18542.48	413288	70910.03	-29154.26	-11619.03	-33916.54	1	-.3682503	-.3483039	-.0329879	-.9233876	-1.148078	.3427311	1.483055	.6685417	1.021921	.8791677	1.715755	-.5360066	.0937757
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_C08	SD158	C08	1	7		1	Size	8	C	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:38:19	4.633333	3282.205	796788.3	1015440	351.8919	311.584	294.6019	76323.24	.0277731	.0000216	161.9446	6370.239	373795.5	105019.2	-1660.075	-13967.35	-67257.97	0	-.3483039	-.3782783	-.0896424	-1.264662	-1.758563	-.0192091	2.125054	-.1573107	-.8321877	-.9223964	.8898187	.9114298	1.002521
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_C10	SD174	C10	1	3		1	Size	10	C	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:41:20	4.683333	3244.251	741370.3	1061677	316.9869	266.2672	235.1563	55747.07	.0336798	6.84e-06	157.8908	14654.54	306878.1	83142.09	-34745.9	-61319.13	-7754.3	1	-.4808867	-1.573204	-1.852809	-.6892965	-.3949444	-.4786552	-.1929286	.8056329	-1.966487	.3022623	-.9005717	.007203	-.1957222
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_C11	SD182	C11	1	7		1	Size	11	C	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:42:24	4.7	3151.455	853731.7	1077079	320.0115	272.4818	254.2969	58319.09	.0305745	.0000324	164.9357	21353.76				70763.8	40085.04	0	-1.064034	.8836861	1.602602	-.3747248	.9091028	.4465882	.2359998	.4255243	-.1189651	1.340519			
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_D01	SD103	D01	1	4		1	Size	1	D	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 11:51:06	3.85	3374.943	801364.1	1065266	319.7945	267.0724	229.6875	56046.14	.0292522	.0000182	172.0131	20516.36				-29100.67	-49849.31	1	.5126317	-.1929286	-.7724472	-.6195099	-1.427076	1.961606	-.1549437	.1189651	-1.054472	1.162061			
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_D02	SD111	D02	1	8		1	Size	2	D	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 11:50:06	3.833333	3224.503	775195.3	1100855	300.7147	260.5836	240.625	53354.49	.0372294	.0000811	145.6097	9510.498	323147.6	116548.5	1385.62	-23297.21	38327	0	-.5999982	-.8563738	-.5494353	.0845939	.8537231	-1.665638	-.5667331	1.421047	1.565677	-.4465882	-.3915344	1.3116	1.102798
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_D05	SD135	D05	1	8		1	Size	5	D	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 11:46:02	3.766667	3240.837	793049.9	1086470	326.0468	285.2545	269.8947	63911.74	.0339563	5.59e-06	160.9643	13667.6				-8913.863	18232.22	0	-.5019941	-.4290175	.0612905	-.2176326	.2952666	-.1155036	.9699136	.8593426	-2.346722	.1639992			
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_D07	SD151	D07	1	4		1	Size	7	D	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:50:53	4.833333	3008.65	825110.5	975932.6	376.8566	298.7794	270.8924	70222.17	.035085	.0000488	168.481	6101.074				72492.2	-11143.44	1	-1.717867	.3782783	1.637607	-1.758563	-.552619	1.134214	1.54175	1.071175	.741594	-.9521988			
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_D08	SD159	D08	1	8		1	Size	8	D	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:49:51	4.816667	3187.399	771038.2	1060929	304.5305	262.4001	235.1563	54102.17	.0414619	.0000828	148.2378	15791.02	313098.8	79672.85	-37173.18	-19568.82	11370.66	0	-.8296859	-.9550503	-.3711493	-.7012515	.1318144	-1.441564	-.4341506	1.710783	1.671125	.5277092	-.6565128	-.1372862	-.2997501
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_D10	SD175	D10	1	4		1	Size	10	D	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:46:56	4.766667	3248.347	779920.6	1093289	295.3203	260.7029	243.1086	53384.4	.0305355	.0000198	143.7937	10826.42				-23639.24	22425.95	1	-.4496191	-.6922092	-.5604274	-.1128968	.4358834	-1.899709	-.5503351	.4151525	-.9750298	-.2424531			
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_D11	SD183	D11	1	8		1	Size	11	D	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:45:57	4.75	3348.945	806089.5	1098074	306.1085	270.3209	248.8281	57421.88	.0265313	9.72e-06	156.9709	19649.05	337802.1	58648.07	-54060.13	-18849.96	-7953.22	0	.2601136	-.1077688	-.3310569	0	-.4153269	-.5667542	.0889716	-.467487	-1.671125	1.05552	.0360226	-1.051338	-.8898187
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_E01	SD104	E01	1	1		1	Size	1	E	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 11:53:52	3.883333	3219.095	749116.2	1144251	294.5486	254.948	232.2373	51051.64	.0330022	.0000287	154.892	20187.38				-48226.91	83612.91	1	-.6339409	-1.403567	-1.374866	.7879745	1.971304	-.7972819	-.9699136	.741594	-.343715	1.116127			
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_E02	SD112	E02	1	5		1	Size	2	E	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 11:55:01	3.916667	3005.878	770350.3	975334.5	281.2289	242.5497	221.8772	46206.66	.0482935	7.84e-06		16777.95	290758.1	55492.86	-65095.24	18321.13	-10772.61	0	-1.760293	-.9699136	.6863678	-1.804448	-.5200966		-1.429067	2.346722	-1.75333	.6957426	-1.246329	-1.129657	-1.278284
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_E04	SD128	E04	1	1		1	Size	4	E	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 11:57:03	3.95	3177.812	730065.3	1065026	285.3508	262.163	253.1285	53982.54	.0348341	.0000404	153.3629	16927.49				-58504.18	18819.12	1	-.9116741	-1.856145	-1.674742	-.6309245	.3347314	-.9674216	-.4808867	1.038059	.384298	.7204233			
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_E05	SD136	E05	1	5		1	Size	5	E	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 11:58:16	3.966667	3076.607	778784.2	1063920	308.9713	275.5525	257.0313	59635.01	.0374757	.0000462	143.9848	15850.83	230599.7	34064.33	-96600.32	11723.28	53088.95	0	-1.483055	-.7161794	.5494353	-.642422	1.166417	-1.794102	.4496191	1.447606	.6685417	.5443409	-2.38152	-2.051381	-2.761871
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_E07	SD152	E07	1	1		1	Size	7	E	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:51:55	4.85	3365.964	799689.3	1111412	308.3277	263.008	235.1563	54371.34	.0314325	.0000155	152.8276	27066.04				-28867.17	-563.7238	1	.4290175	-.2552792	-.7472922	.2369004	-.1888795	-1.014499	-.3883444	.6102946	-1.197631	1.705385			
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_E08	SD160	E08	1	5		1	Size	8	E	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:53:18	4.883333	3207.905	764099.8	1106358	298.9765	264.837	237.8906	55089.11	.0260515	7.13e-06	158.5811	15880.74	289830.9	110297.9	-10445.54	-30865.26	49631.79	0	-.7161794	-1.047702	-.8111262	.1412905	1.130117	-.3941279	-.2698009	-.565153	-1.849442	.5555127	-1.3116	1.129657	.7874227
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_E10	SD176	E10	1	1		1	Size	10	E	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:55:32	4.916667	2946.094	750282.6	1005122	298.5088	267.7961	260.8721	56345.21	.0416166	.0000436	153.9015	9989.014				10958.84	39912.38	1	-2.043077	-1.355139	.527647	-1.427076	.8950011	-.8933916	-.1266041	1.75333	.6217734	-.3580492			
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_E11	SD184	E11	1	5		1	Size	11	E	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:56:45	4.933333	2922.056	752705.1	776361.7	303.9784	245.8726	230.2775	47492.68	.0254482	.0000173	163.6411	31791.38	386700.4	34438.17	-70079.54	18490.08	-180445.3	0	-2.125054	-1.226131	.6983435	-2.898852	-2.350929	.2722359	-1.378949	-.7168205	-1.141197	2.34246	1.185975	-1.945423	-1.505545
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_F01	SD105	F01	1	2		1	Size	1	F	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:05:58	4.083333	3215.03	828280.6	1086260	306.1031	264.8339	237.8906	55089.11	.0396878	.0000219	134.0078	9420.776	328007.5	71074.52	-43274.28	31801.48	27043.78	1	-.6686303	.4290175	.9065182	-.227256	.552619	-2.527302	-.2698009	1.633934	-.8056329	-.484047	-.2251802	-.5194481	-.5866017
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_F02	SD113	F02	1	6		1	Size	2	F	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:04:59	4.066667	3309.494	755007.9	1070081	292.5401	259.4091	242.7352	52905.88	.0400703	.0000871	149.4271	17136.84	269135.1	66394.05	-57815.91	-61547.18	-22156.1	0	-.0795852	-1.168668	-1.908002	-.5200966	-.9525385	-1.294762	-.6862788	1.671125	1.79931	.745551	-1.715755	-.6744897	-1.051338
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_F04	SD129	F04	1	2		1	Size	4	F	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:02:37	4.033333	3354.026	778126.3	1096160	324.3606	278.6943	255.993	61010.74	.0263977	.0000347	166.3054	16538.7	328321.5	63283.69	-51012.51	-47893.17	-11643.61	1	.2990192	-.7405683	-1.351012	-.0281681	-.5635893	.6957426	.5888377	-.4887764	.0142427	.6416926	-.1957222	-.8686155	-.8273372
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_F05	SD137	F05	1	6		1	Size	5	F	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:01:37	4.016667	3068.49	747979.8	996179.8	305.319	256.2003	229.6875	51589.96	.036131	.000029	148.1351	9420.776	271886.6	63463.13	-60285.95	-17356	-11813.4	0	-1.573204	-1.429067	-.2621146	-1.509833	-.5746278	-1.469259	-.9116741	1.258162	-.2838633	-.484047	-1.656102	-.8477958	-1.102798
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_F07	SD153	F07	1	2		1	Size	7	F	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 13:04:33	5.066667	3361.406	831480.7	1156812	289.2533	247.1063	218.75	47971.19		.000065	150.6598	27185.67	353294.1	99471.44	-10641.86	3892.861	46428.61	1	.3782783	.5019941	.4016116	1.045309	1.078302	-1.251566	-1.309697		1.301224	1.844337	.5360066	.748725	.7679301
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_F08	SD161	F08	1	6		1	Size	8	F	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 13:03:34	5.05	3409.001	815839.3	1142486	339.9874	293.4219	276.6124	67620.24	.0288595	.0000362	156.7525	9540.405	393758.5	60532.23	-42803.25	-21863.74	15466.1	0	.8563738	.1407598	-.4847981	.7377372	.227256	-.6009209	1.378949	.0617555	.1669311	-.436002	1.346439	-.9559837	-.5360066
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_F10	SD177	F10	1	2		1	Size	10	F	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 13:01:11	5.016667	3204.188	735089.8	1034282	304.392	265.2596	244.5699	55268.55	.0295079		155.4489	12710.57	309509.9	98125.61	-19321.55	-59085.19	-21145.11	1	-.7405683	-1.806146	-1.714341	-1.061661	-.867318	-.7711585	-.2408111	.1958891		.0192091	-.7874227	.6744897	.4228376
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_F11	SD185	F11	1	6		1	Size	11	F	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 13:00:02	5	3263.152	1041280	839047.3	262.5776		129.2632	25271.61	.0214187	.0000129	134.0368	5443.115					-236990.8	0	-.39845	2.536583		-2.350929	-2.535274	-2.34246	-2.536583	-2.218582	-1.32369	-1.038901			
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_G01	SD106	G01	1	3		1	Size	1	G	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:07:00	4.116667	3123.229	800257.6	1045916	281.5337	254.5004	235.1563	50872.19	.0376678	.0000757	143.9101	21652.83	275729.7	89736.63	-33368.73	23288.41	18788.15	1	-1.309697	-.221598	.7598096	-.9091028	.3248186	-1.844337	-.9926193	1.475227	1.421047	1.389269	-1.60182	.3452784	-.1082554
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_G02	SD114	G02	1	7		1	Size	2	G	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:08:26	4.133333	3323.829	779860.8	1063531	301.9768	262.3651	232.4219	54102.17	.0234615	.0000282	165.1573	14624.63				-39740.99	-33716.93	0	.0140301	-.7041437	-1.075938	-.6540049	-1.130117	.4894529	-.4341506	-1.370745	-.3945408	.2922246			
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_G04	SD130	G04	1	3		1	Size	4	G	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:10:33	4.166667	3602.783	851817.6	1267139	306.2327	269.22	248.8281	56943.36	.027123	.0000452	160.9481	18004.15				-27068.79	72382.53	1	2.35232	.8429548	-.6744897	2.350929	1.758563	-.1251774	.0140301	-.2937625	.6567159	.8375226			
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_G05	SD138	G05	1	7		1	Size	5	G	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 12:11:37	4.183333	3189.123	744420.8	1041340	321.2593	274.607	259.7152	59246.21	.0278979	.0000195	151.2183	6101.074	363791.5	81586.91	-26768.06	-46552.57	-8821.089	0	-.8165614	-1.511752	-1.241867	-.9525385	-.4670705	-1.171546	.4136855	-.1285329	-.9904183	-.9521988	.6744897	-.0504421	.2251802
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_G07	SD154	G07	1	3		1	Size	7	G	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 13:05:53	5.083333	3335.102	799061.3	1053392	305.8825	258.5113	229.7916	52487.18	.0324172	.0000807	161.9872	17495.73				-22936.28	-47795.82	1	.1266041	-.3088144	-.527647	-.8008457	-1.401553	-.0096041	-.7529291	.7168205	1.504022	.8038979			
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_G08	SD162	G08	1	7		1	Size	8	G	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 13:06:48	5.1	3207.459	765864.3	1069572	291.897	254.3362	237.7061	50812.38	.037097	.000072	141.1299	15521.85				-29005.91	13001.92	0	-.7283197	-1.000302	-.7598096	-.5308747	.1888795	-2.214129	-1.015849	1.395455	1.346845	.4572247			
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_G10	SD178	G10	1	3		1	Size	10	G	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 13:09:16	5.15	3258.809	749295.6	1071965	296.593	257.4769	235.0848	52128.3	.0339864	.0000163	142.6934	20665.89				-56487.76	-2555.077	1	-.4187852	-1.378949	-1.569458	-.4462306	-.2562565	-2.03208	-.790725	.8731602	-1.159599	1.210587			
InsH2Bfabp_Size_03dpf_VAST01_plate01_SIRT1_220922_G11	SD186	G11	1	7		1	Size	11	G	insH2Bfabp	Size	SIRT1	220922	1	3	22sep2022 13:10:17	5.166667	3150.01	794365.9	1065325	271.8467	237.6338	216.0156	44352.42	.0344744	.0000427	153.3195	13488.16				11705.04	28836.58	0	-1.080655	-.4085965	.5385092	-.6081754	.5969185	-.9828719	-1.606296	.9449254	.5430125	.1494152			
