filename	index	well	batch	tank	plate0	Project	column	row	line	proj	Exp	date	VAST	age	time	tod	length	dorsal_area	lateral_area	eye_max_d	eye_mean_d	eye_min_d	eye_area	bent_back	curvature	angle	PCE	dorsal_tail	pig_dorsal_tail	pig_dorsal_tail_Res	dorsal_area_Res	lateral_area_Res	condition	intlength	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intangle	inteye_area	intbent_back	intcurvature	intPCE	intdorsal_tail	intpig_dorsal_tail	intpig_dorsal_tail_Res	conditions
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_B01	SE002	B01	1	2	1	Size	1	B	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 10:39:23	2.65	3279.623	757609.9	1125678	315.2685	282.7518	267.9688	62805.18	.0277554	9.25e-06	152.1285	18602.29				-20912.79	54599.18	0	.3919137	-.1277157	-.512697	1.41001	1.525842	-.3803256	1.467366	-.4930868	-1.485165	.8073037				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_B02	SE010	B02	1	2	1	Size	2	B	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 10:49:33	2.816667	3113.259	853970.9	1036824	369.4587	316.7619	285.4075	78895.27	.0274533	.0000108	171.0492	5114.136	460212.4	57511.6	-50982.84	100290.5	8337.499	0	-.6118298	1.817728	2.088701	-.4475589	.0977496	1.93088	2.87307	-.5396609	-1.318011	-1.236961	1.825264	-1.168219	-2.586034	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_B03	SE018	B03	1	2	1	Size	3	B	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 10:58:10	2.966667	3206.015	749684.4	1063651	310.262	258.2008	226.9531	52427.37	.0326572	.0000228	156.0655	14026.49				-17846.73	11416.76	0	-.0764961	-.3266899	-.432599	-.0050948	.2544081	-.0722703	.1174492	.3159605	-.6942906	-.0053107				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_B04	SE026	B04	1	2	1	Size	4	B	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:08:22	3.133333	3379.056	802739.9	1114284	310.0412	266.6312	236.7644	55866.7	.0255666	.0000325	170.8341	7805.786	355776.4	114155.9	24487.62	9369.416	17747.61	0	.9275163	.7399182	.3661064	1.135663	.4064306	1.76129	.6056978	-.9275163	-.2587433	-.7854268	.6219411	1.270565	1.121357	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_B06	SE042	B06	1	2	1	Size	6	B	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:26:07	3.433333	3408.948	818680.4	1090926	323.2966	288.7025	275.1114	65466.92	.0235184	.0000322	170.1006	2512.207	404614.9	82304.69	-16167.45	20846.42	-13262.91	0	1.283871	1.135663	.6841546	.5874365	-.5208676	1.593219	1.766955	-1.563708	-.2695584	-1.700787	1.388291	.0243386	-.5926759	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_B07	SE050	B07	1	2	1	Size	7	B	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:35:00	3.583333	3325.062	795382.7	1082851	313.2057	271.8464	253.2504	58079.84	.0316672	.0000289	151.2407	3379.517	311782.8	82708.44	970.6729	10074.86	138.7042	0	.6241633	.563388	.3880768	.3809343	-.1807582	-.5291408	.9119622	.1277157	-.4136006	-1.61675	-.0730736	.097499	.0486916	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_B08	SE058	B08	1	2	1	Size	8	B	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:44:03	3.733333	3345.706	788354.5	1100945	299.9879	265.0571	249.8883	55178.83	.0237701	.0000333	162.0134	17166.75	293599.3	66543.58	-11916.32	-35.924	12947.39	0	.7807333	.3591108	.1024905	.7807333	.2756891	.4477675	.4588506	-1.467366	-.2264733	.5775628	-.4802242	-.7449356	-.4530879	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_B09	SE066	B09	1	2	1	Size	9	B	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:53:03	3.883333	3257.747	773191.5	1081356	301.1426	273.7339	262.5	58857.42	.0352114	.0000235	161.4979	12860.11	349406.1	107127.7	18607.76	-2064.571	15877.34	0	.2628283	.0764961	.0102313	.3266899	.351238	.3803256	.9755887	.6118298	-.6420614	-.1331588	.5639098	1.034354	.9168461	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_B10	SE074	B10	1	2	1	Size	10	B	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 12:02:36	4.033333	3317.203	774148.6	1153283	288.509	256.8962	236.9681	51859.13	.0334069	.0000231	142.8008	14983.52				-9985.738	72582.25	0	.563388	.1071952	-.2480682	1.936181	1.870061	-1.300541	.0152849	.4029407	-.6679482	.1546229				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_B11	SE082	B11	1	2	1	Size	11	B	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 12:11:34	4.183333	2992.781	712240.6	1018909	268.3812	238.1944	218.75	44561.77	.0297642	.0000623	156.2106	19559.33				-23449.43	21268.02	0	-1.079224	-1.079224	-.5599549	-.6617522	.5445463	-.0515996	-.9755887	-.1586004	.6942906	.8832178				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_B12	SE090	B12	1	2	1	Size	12	B	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 12:20:02	4.333333	3129.645	716308	1043344	292.189	259.1054	244.991	52786.25	.0256491	6.47e-06	152.6262	10796.51				-39819.18	10662.21	0	-.5396609	-.9755887	-1.076659	-.3159605	.2226981	-.3254296	.1896371	-.8814972	-1.996925	-.3921935				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_C01	SE003	C01	1	3	1	Size	1	C	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 10:40:24	2.666667	2654.902	608791.5	861477.7	236.7822	205.2015	191.7896	33107.3	.0372964	3.56e-06	120.2236	25301.51				-76444.8	-49659.29	1	-1.766955	-2.87307	-2.005609	-1.720366	-1.433765	-2.869191	-1.936181	.8518291	-2.310991	1.747743				pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_C02	SE011	C02	1	3	1	Size	2	C	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 10:50:38	2.833333	2567.176	820564.6	842127.7	262.1161	187.9854	150.5631	27843.63	.0772085	.0002209	172.4986	4964.6	184333.2	21951.9	-36811.14	148428	-46549.54	1	-2.007321	1.175393	2.505007	-2.090361	-1.378552	2.315673	-2.506447	2.32029	2.86526	-1.260117	-2.586034	-2.586034	-1.709391	pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_C03	SE019	C03	1	3	1	Size	3	C	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 10:59:19	2.983333	3141.572	743583.4	1006229	277.6441	254.2813	248.0902	50842.29	.0296368	.000047	157.7042	15791.02				-14324.87	-29506.36	1	-.470201	-.4475589	-.3661064	-.8086801	-1.020741	.0412731	-.0867197	-.2104284	.3021995	.3186394				pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_C06	SE043	C06	1	3	1	Size	6	C	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:27:06	3.45	3132.32	708801.3	1025908	294.5012	262.7452	245.0726	54221.8	.029769	7.38e-06	135.4868	19798.58	258248.9	85594.48	13507.02	-47725.38	-7458.598	1	-.5046266	-1.116454	-1.407822	-.5874365	-.351238	-2.186123	.3482635	-.1482901	-1.862732	.9231439	-1.168219	.2709782	.7131901	pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_C07	SE051	C07	1	3	1	Size	7	C	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:36:25	3.6	2682.952	688584	850352.2	257.5736	223.5162	213.2813	39238.28	.0393363	.0000629	160.0839	5173.95	264738.8	54221.8	-19035.56	-840.796	-67966.08	1	-1.720366	-1.41001	.0614254	-1.873672	-1.716527	.2714978	-1.59929	1.043433	.7211238	-1.214449	-1.076836	-1.388291	-.7449356	pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_C08	SE059	C08	1	3	1	Size	8	C	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:45:19	3.75	3178.68	751867.7	1010924	268.7173	235.8665	213.2813	43694.46	.0296267	9.68e-06	156.6799	16269.53	254555.4	31253.05	-40168.6	-11581.62	-34311.22	1	-.231311	-.2628283	-.3119191	-.7807333	-1.111406	-.0206321	-1.079224	-.2208577	-1.454408	.3979352	-1.327129	-1.972578	-2.181774	pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_C09	SE067	C09	1	3	1	Size	9	C	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:54:40	3.9	2851.632	667589.1	982841.2	276.4665	233.2896	212.6701	42767.34	.031709	.0000656	148.7784	20845.34	572274.8	149356.7	20661.32	-47023.89	21337.05	1	-1.382994	-1.59929	-1.354709	-1.026029	.5565004	-.7171994	-1.195972	.1379956	.7906185	1.130004	2.181774	1.972578	.954549	pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_C10	SE075	C10	1	3	1	Size	10	C	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 12:03:38	4.05	3152.013	743284.3	1051837	273.7766	248.776	237.7061	48629.15	.0372598	.0000647	154.834	16389.16				-16183.06	13428.98	1	-.4140168	-.470201	-.4102362	-.231311	.2970957	-.1762694	-.4084725	.8228925	.7484866	.4326704				pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_C11	SE083	C11	1	3	1	Size	11	C	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 12:12:33	4.2	2917.442	746424.6	1057550	292.6294	245.983	219.4634	47522.58	.0582998		149.2776	11065.67				21984.47	79196.58	1	-1.260977	-.4029407	.7234756	-.1482901	1.932655	-.6648088	-.5995885	1.936181		-.3410701				pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_C12	SE091	C12	1	3	1	Size	12	C	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 12:21:04	4.35	3216.745	742387.1	1120564	299.9837	250.7263	232.526	49376.83	.0345756	.0000288	141.6084	21593.02	296231.1	100727.5	21793.21	-26746.4	65583.09	1	-.035671	-.5162339	-.736832	1.238726	1.814036	-1.557543	-.2999338	.5279112	-.4364642	1.28397	-.4530879	.8108084	1.034354	pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_D01	SE004	D01	1	4	1	Size	1	D	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 10:43:11	2.716667	3675.229	801992.2	1059015	306.2179	255.5234	226.9531	51350.71	.040963	.0000894	163.2783	4067.383	339955.4	99591.06	12774.76	-35604.27	-113347.7	0	2.32029	.7133814	-.9728814	-.0764961	-2.317219	.5530241	-.0407695	1.135663	1.202508	-1.445544	.4262813	.7774502	.6821476	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_D03	SE020	D03	1	4	1	Size	3	D	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:00:50	3	3413.924	811293.3	1196289	298.6736	262.4292	237.8906	54102.17	.0281226	.0000124	147.3824	8583.374	312739.9	81586.91	-323.3699	12716.21	90826.17	0	1.331797	.9432981	.477996	2.87307	2.50356	-.8430921	.3374571	-.4363241	-1.082193	-.6415176	-.0486916	-.0243386	-.0486916	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_D04	SE028	D04	1	4	1	Size	4	D	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:10:32	3.166667	3174.814	733893.4	1004763	298.2592	260.9248	243.6443	53474.12	.0334559	.0000234	148.793	3588.867	289038.4	59993.9	-17643.84	-28978.59	-39482.32	0	-.2733908	-.649121	-.8636957	-.8518291	-1.212268	-.7039218	.2733908	.4140168	-.6549499	-1.578692	-.5639098	-1.076836	-.6821476	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_D05	SE036	D05	1	4	1	Size	5	D	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:19:54	3.316667	3454.042	777737.4	1088085	310.0526	266.8449	242.3088	55926.52	.0251468	.0000483	166.5142	9540.405	424892	109939	7811.577	-26830.34	-27649.25	0	1.530002	.1586004	-.7503213	.5279112	-.9377738	1.053349	.6365926	-1.026029	.31315	-.4917708	1.612762	1.121357	.4802242	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_D06	SE044	D06	1	4	1	Size	6	D	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:28:11	3.466667	3251.531	737512.2	1112908	290.0223	257.971	246.0938	52307.74	.032833	.000018	155.912	13278.81	310242.6	84622.5	3162.383	-36815.56	49021.09	0	.231311	-.5874365	-1.00627	1.079224	1.433765	-.0826166	.0867197	.3482635	-.9106117	-.0690934	-.14654	.1711858	.1711858	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_D07	SE052	D07	1	4	1	Size	7	D	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:37:30	3.616667	3163.429	752017.2	1031710	290.3512	256.5961	246.0938	51739.5	.0420004	.0001409	151.379	20097.66	271647.3	78327.02	3824.289	-9154.809	-9621.141	0	-.3591108	-.252295	-.206072	-.5162339	-.4176138	-.4706929	-.0050948	1.238726	1.708735	.9730902	-.8450942	-.1959361	.2458153	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_D08	SE060	D08	1	4	1	Size	8	D	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:46:37	3.766667	3231.375	753961.2	1068735	282.1774	251.1828	234.9717	49556.27	.0386723	.0000896	144.6758	12052.61				-17356.8	10008.4	0	.0764961	-.2208577	-.4213913	.0918348	.2016838	-1.147854	-.2628283	.9755887	1.246721	-.2413007				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_D09	SE068	D09	1	4	1	Size	9	D	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:55:51	3.916667	3049.725	651558.8	1003208	265.7028	233.5932	213.2813	42857.05	.0268581	.0000463	159.7737	12770.39				-92634.34	-9012.075	0	-.8966256	-1.873672	-2.18935	-.8665678	-.395298	.2289214	-1.175393	-.6617522	.291285	-.1707672				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_D11	SE084	D11	1	4	1	Size	11	D	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 12:13:46	4.216667	3145.2	732936.4	1026536	318.7918	277.8004	270.1299	60621.95	.0359292	.0000865	153.2836	15521.85	228775.3	68487.55	1713.14	-25513.62	-10128.19	0	-.425144	-.6617522	-.6971414	-.5753707	-.4401395	-.2608105	1.175393	.7133814	1.160529	.2742425	-1.972578	-.651749	.1219828	Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_D12	SE092	D12	1	4	1	Size	12	D	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 12:22:09	4.366667	3330.515	801693.1	1084556	324.0026	279.1774	257.0099	61309.81	.0269553	.000052	166.2529	6938.477				15570.97	447.1497	0	.649121	.7003002	.5480269	.4140168	-.1703256	1.018076	1.260977	-.5995885	.4595582	-.9816523				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_E01	SE005	E01	1	5	1	Size	1	E	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 10:44:10	2.733333	2475.191	621412.4	841170.6	252.1311	224.4579	205.0781	39627.07	.0498689	.0000375	137.8073	17316.29				-36988.58	-23956.44	1	-2.190952	-2.506447	-1.023392	-2.190952	-.8460211	-1.868242	-1.49795	1.59929	-.0261137	.6092287				pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_E02	SE013	E02	1	5	1	Size	2	E	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 10:52:52	2.866667	2991.079	684875.5	1017892	286.909	240.4969	210.5469	45429.08	.0404982	.0000897	148.7561	16030.27	250712.3	63193.97	-7534.905	-50560.34	20687	1	-1.097649	-1.438097	-1.495846	-.7068257	.4858843	-.7306048	-.8372732	1.116454	1.26977	.3523494	-1.455138	-.8108084	-.3218414	pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_E03	SE021	E03	1	5	1	Size	3	E	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:02:04	3.033333	3230.334	748847.1	1076929	282.7268	253.9607	237.1883	50662.84	.0421785	.0000276	143.1362	25929.57				-22315.48	18469.55	1	.0662805	-.3374571	-.5480269	.2417897	.4401395	-1.276876	-.1174492	1.260977	-.4946696	1.918207				pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_E05	SE037	E05	1	5	1	Size	5	E	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:20:53	3.333333	2973.397	723665.2	968276.4	300.7147	257.7712	232.2373	52188.11	.0578798	.0002159	151.7427	19798.58				-9130.275	-24402.06	1	-1.135663	-.8086801	-.185214	-1.097649	-.8608072	-.4138112	.0560719	1.873672	2.497705	.9231439				pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_E06	SE045	E06	1	5	1	Size	6	E	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:29:18	3.483333	3135.796	731979.4	1058925	283.9635	249.4985	227.2259	48898.32	.0381279	.0000755	147.7588	19140.63				-25066.28	24669.08	1	-.4816124	-.6873378	-.6712821	-.0969524	.6809524	-.7997282	-.3266899	.9275163	1.00999	.8370893				pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_E07	SE053	E07	1	5	1	Size	7	E	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:38:32	3.633333	3171.987	762873.6	1068735	278.6636	246.5961	236.6539	47761.84	.0301442	9.11e-06	141.7169	19499.51				423.6284	25212.93	1	-.3266899	-.045869	.1230837	.0918348	.7203468	-1.523747	-.563388	-.0867197	-1.551285	.8676367				pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_E08	SE061	E08	1	5	1	Size	8	E	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:47:40	3.783333	3356.317	798313.6	1081984	320.5793	272.0766	247.0156	58139.65	.02412	.0000329	165.8723	9271.24				8338.702	-8730.529	1	.8228925	.6241633	.3011957	.3700005	-.3842142	.9674216	.9275163	-1.307459	-.2479583	-.5280601				pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_E09	SE069	E09	1	5	1	Size	9	E	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:57:03	3.95	3332.036	791943.4	1105311	339.868	291.561	277.0127	66782.84	.0319146	7.95e-06	160.6019	14505	394147.3	69833.38	-26751.83	5594.21	20813.55	1	.6744897	.4930868	.237531	.9275163	.4974774	.3037519	1.873672	.1689275	-1.806544	.0797442	1.270565	-.6219411	-1.121357	pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_E10	SE077	E10	1	5	1	Size	10	E	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 12:05:48	4.083333	2789.559	728599.9	924013.7	282.5781	247.8274	221.4844	48240.36	.0376647	.0001584	150.9319	14923.71				23255.94	-21598.37	1	-1.49795	-.7265859	.7916386	-1.438097	-.7608925	-.5650843	-.475899	.8814972	2.080278	.1438825				pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_E11	SE085	E11	1	5	1	Size	11	E	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 12:14:42	4.233333	2866.295	622518.9	856333.6	248.6553		184.7292	32239.99	.0347133	.0000421	136.3141	22071.53	245927.1	88136.59	18270.32	-94283.6	-108924.5	1	-1.307459	-2.32029	-2.318758	-1.817728	-2.18774	-2.085356	-2.007321	.5753707	.1309267	1.334001	-1.709391	.3735517	.8450942	pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_E12	SE093	E12	1	5	1	Size	12	E	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 12:23:11	4.383333	2858.732	690617.7	933972.8	257.4584	219.3723	202.3438	37802.73	.0368274	.0001038	164.1136	20277.1				-25055.54	-29349.16	1	-1.356951	-1.382994	-.6585199	-1.382994	-1.003595	.7039218	-1.720366	.7946292	1.517396	1.016646				pdx1_crispants
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_F01	SE006	F01	1	6	1	Size	1	F	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 10:45:14	2.75	3087.069	942675.8	977278.4	302.7675	237.3826	199.432	44352.42	.0388387	.0000783	171.3267	1585.083				192906.3	-44502.44	0	-.7533835	2.506447	2.871783	-1.061158	-1.302859	2.00216	-.9921216	.9921216	1.101146	-1.989825				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_F02	SE014	F02	1	6	1	Size	2	F	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 10:53:57	2.883333	2899.697	758566.9	928888.6	295.2392	236.3003	202.993	43963.63	.0741978	.0001335		14744.26				36776.61	-44921.17	0	-1.283871	-.0969524	1.214676	-1.41001	-1.327249		-1.043433	2.090361	1.624981	.1064136				Controls
InsH2Bfabp_Size_03dpf_VAST01_plate01_PDX1_220923_F03	SE022	F03	1	6	1	Size	3	F	insH2Bfabp	Size	PDX1	220923	1	3	23sep2022 11:03:34	3.05	3269.305	790956.4	1041729	324.0184	293.7274	283.775	67769.77	.0325687	.0000709	168.6444	14116.21	327035.5	122081.3	37594	13974.49	-26708.85	0	.3374571	.4588506	.4894971	-.3266899	-.9063435	1.376315	2.007321	.2733908	.9265376	.0159326	.14654	1.529205	1.612762	Controls
