filename	index	well	batch	tank	plate	Project	column	row	_merge	line	proj	Exp	date	VAST	age	time	tod	length	dorsal_area	lateral_area	eye_max_d	eye_mean_d	eye_min_d	eye_area	bent_back	curvature	angle	PCE	dorsal_tail	pig_dorsal_tail	pig_dorsal_tail_Res	dorsal_area_Res	lateral_area_Res	condition	intlength	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intangle	inteye_area	intbent_back	intcurvature	intPCE	intdorsal_tail	intpig_dorsal_tail	intpig_dorsal_tail_Res	conditions
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_B09	SF265	B09	1	2	1	Size	9	B	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 13:18:19	5.3	3254.619	671477.1	923595	303.9472	271.6191	254.2969	57990.11	.0335148	.0000664	158.82	7177.734				7062.509	-31379.65	0	.9326642	.6384531	.464368	-.2516333	-.7007746	-.669074	-.3033943	1.146228	1.980752	-.996586				Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_B10	SF273	B10	1	2	1	Size	10	B	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 13:26:10	5.433333	3158.829	681167	936574.7	367.1805	310.3937	278.3042	75755.01	.0265127	.0000255	149.7143		202172.8	127614.1	69557.91	28841.5	-5402.197	0	.2345352	.7883986	.8112562	.0166009	-.2175053	-1.628361	1.266601	.1540745	-.3661064		-.3417246	1.742647	1.894644	Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_B11	SF281	B11	1	2	1	Size	11	B	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 13:44:37	5.733333	3108.429	649106.4	927901.6	322.119	284.0196	265.2344	63403.32	.0253406	.0000288	170.9253	17077.03	194367.1	57362.06	573.7531	3141.474	-7236.607	0	-.1331943	.3383501	.3737245	-.1667717	-.286057	1.510035	.2345352	-.1886844	.051178	.3414583	-.568394	.0437342	.404226	Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_B12	SF289	B12	1	2	1	Size	12	B	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 13:53:06	5.883333	2880.001	598593.1	881874.4	287.5364	260.0703	246.0938	53234.86	.0264957	2.75e-06	151.2859	11155.4				-18543.41	-22268.45	0	-.9586237	-.7883986	-.3208232	-.9199175	-.5785188	-1.409726	-.7659457	.1196481	-2.706351	-.3186394				Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_C01	SF202	C01	1	3	1	Size	1	C	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 11:51:54	3.85	3084.844	591505.1	953891	289.4805	248.8303	230.1347	48629.15	.0392217	.000041	146.7829	31731.57				-51483.21	21953.14	1	-.3208232	-.9073185	-1.30453	.2516333	.3383501	-2.114381	-1.479252	1.573313	.8391938	2.626741				tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_C02	SF210	C02	1	3	1	Size	2	C	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:06:28	4.1	2758.312	554779.1	918779.9	285.1246	255.0942	235.1563	51111.45	.0282191	.0000376	153.5274	18392.95	154111.9	58887.33	8637.764	-46999.9	31149.09	1	-1.30453	-1.793784	-1.099562	-.3737245	.501678	-1.243203	-.9852459	.294066	.6167268	.556914	-1.622711	.1906023	.9144792	tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_C03	SF218	C03	1	3	1	Size	3	C	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:16:52	4.266667	3102.548	582832	1008741	317.95	274.9442	245.6344	59395.75	.0227181	.0000301	163.3622	17884.52				-62390.72	74400.68	1	-.1836288	-1.099562	-1.883722	1.230412	1.266601	-.017288	-.2430754	-1.214676	.136841	.4826978				tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_C04	SF226	C04	1	3	1	Size	4	C	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:25:44	4.416667	2798.33	605412	971536.3	320.9593	280.5941	259.7656	61848.14	.0257361	.000028	169.9984	21862.18	192542.7	34512.94	-21979.04	-1417.341	78475.4	1	-1.13047	-.6589408	.2175053	.5590041	1.344434	1.364489	.0498212	-.085363	-.0170527	1.109438	-.6744897	-1.622711	-1.164587	tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_C05	SF234	C05	1	3	1	Size	5	C	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:36:16	4.6	2781.681	570450.4	916656.5	287.9416	249.954	231.564	49077.76	.0284452	.0000152	156.522	26916.5	201365.4	56584.47	-1340.588	-34277.75	25854.73	1	-1.195765	-1.344434	-.7221558	-.3915859	.3737245	-.8293674	-1.30453	.3479321	-.9674216	1.764866	-.3727933	-.0729317	.2203721	tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_C07	SF250	C07	1	3	1	Size	7	C	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:58:14	4.966667	3179.946	629876.1	943543.1	362.2296	308.9847	284.375	75007.33	.0368657	.0000602	168.8563	13577.88	148878.2	28980.1	-20419.33	-25114.47	-1299.241	1	.3737245	-.1164641	-.5397	.1164641	-.0997664	1.137876	1.084494	1.465234	1.781505	-.0757033	-1.894644	-1.894644	-1.006961	tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_C08	SF258	C08	1	3	1	Size	8	C	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 13:07:38	5.116667	3223.299	593060.3	902959	328.3745	297.3816	281.6406	69474.48	.0258014	4.68e-06	156.2871	14056.4	217485.3	59425.66	-1117.812	-67401.52	-47765.8	1	.679709	-.8825426	-2.32884	-.5205949	-.9586237	-.8791677	.5982564	-.051178	-1.871871	.0432312	.1315391	.3109825	.2503385	tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_C09	SF266	C09	1	3	1	Size	9	C	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 13:19:13	5.316667	2506.546	569672.9	845656.8	314.4607	270.7361	242.3088	57571.41	.0250773	.000017	168.2111		163562.6	40763.55	-11021.11	-332.4028	-7812.042	1	-1.883722	-1.386603	.2516333	-1.266601	-.3033943	1.043857	-.3737245	-.294066	-.8151858		-1.358142	-.9596939	-.3727933	tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_C11	SF282	C11	1	3	1	Size	11	C	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 13:45:26	5.75	3212.021	637562.3	1004165	331.3493	297.0297	287.1094	69295.05	.0227697	.0000342	171.7323	10557.25				-21476.31	54970.52	1	.5982564	.0498212	-.464368	1.040703	.8112562	2.3136	.5785188	-1.179761	.4028279	-.4585578				tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_C12	SF290	C12	1	3	1	Size	12	C	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 13:54:45	5.9	3406.23	739426.3	922578.1	373.799	326.0424	300.7813	83500.98	.025899	.0000318	164.9397	1046.753	333764.7	86013.19	6582.164	55877.91	-52968.56	1	1.883722	1.530764	1.30453	-.2947146	-1.040703	.2802179	2.130716	-.0341104	.2763062	-2.022706	1.622711	1.056592	.7887937	tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_D01	SF203	D01	1	4	1	Size	1	D	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 11:53:25	3.883333	3132.871	635468.8	931969	285.4024	255.4852	229.6875	51290.89	.0423635	.0000558	155.2675	14505	222420	59216.31	-2128.72	-13580.77	-6485.648	0	-.0166009	-.0332065	-.1331943	-.0498212	-.2345352	-1.014499	-.9586237	1.781505	1.703709	.1191299	.1906023	.2203721	.1315391	Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_D02	SF211	D02	1	4	1	Size	2	D	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:07:26	4.116667	3048.726	624044.2	1015709	300.8747	265.3446	245.3318	55298.46	.0282979	.0000398	164.4327	14774.17	191301.6	43245.85	-13044.52	-14385.98	88672.19	0	-.464368	-.2345352	-.1667717	1.344434	1.992123	.1737411	-.5590041	.3298721	.7685224	.1409227	-.7115489	-.7115489	-.6029956	Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_D03	SF219	D03	1	4	1	Size	3	D	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:17:51	4.283333	2610.351	584177.9	798522.9	269.5027	245.7348	232.4219	47432.86		9.49e-06	148.5204	8613.281				1072.073	-69031.13	0	-1.648073	-1.040703	.286057	-1.716379	-1.266601	-1.775217	-1.648073		-1.465234	-.7727757				Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_D04	SF227	D04	1	4	1	Size	4	D	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:26:44	4.433333	3233.976	655656.1	1033773	313.9764	275.1845	248.8281	59635.01	.0278222	.0000408	167.522	15791.02				-6153.268	81599.53	0	.7438725	.4276937	.0997664	1.648073	1.530764	.6908574	-.1499619	.2586331	.8151858	.2511164				Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_D05	SF235	D05	1	4	1	Size	5	D	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:37:23	4.616667	3089.112	591086.4	952485.4	316.4793	278.6726	265.2344	61010.74	.030941	.000027	151.1402	20217.29				-52440.64	19968.28	0	-.2516333	-.9586237	-1.344434	.2090143	.2516333	-1.458047	-.0332065	.7916386	-.1196481	.8633755				Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_D06	SF243	D06	1	4	1	Size	6	D	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:49:58	4.816667	2908.758	858666.4	629337.8	254.2132	155.3834	106.4974	19200.44		.0001419			353548.3	35888.67	-46755.86	237900.7	-278707.1	0	-.8345458	2.32884	2.715253	-2.32884	-2.32884		-2.715253		2.706351		1.894644	-1.358142	-2.52324	Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_D07	SF251	D07	1	4	1	Size	7	D	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:59:40	4.983333	3165.416	647012.9	952485.4	320.9861	278.51	248.7616	60980.84	.02411	.0000272	166.4106	15701.29				-6143.888	9614.681	0	.286057	.3033943	.1164641	.2090143	.0830965	.5443409	-.0498212	-.5962318	-.1024905	.2288757				Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_D08	SF259	D08	1	4	1	Size	8	D	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 13:09:48	5.15	3348.924	711582.6	888065.2	319.1613	281.4836	262.6239	62266.84	.0257508	.0000339	162.7518	5233.765	259101.3	120376.6	53073.33	35266.45	-79705.7	0	1.431392	1.30453	.9326642	-.8112562	-1.386603	-.1737411	.0997664	-.0682605	.3844023	-1.45182	.8292257	1.522408	1.522408	Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_D09	SF267	D09	1	4	1	Size	9	D	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 13:20:06	5.333333	3115.5	632268.7	931071.8	328.2495	289.1568	269.2954	65676.27	.0274253	.0000396	166.1948	10916.14				-14588.6	-5025.884	0	-.0997664	-.0830965	-.1836288	-.0830965	-.2005383	.4657712	.3559816	.223522	.7458098	-.3876489				Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_D10	SF275	D10	1	4	1	Size	10	D	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 13:34:43	5.566667	3145.262	627393.8	891055.9	333.2792	295.5556	270.7031	68607.18	.0292948	.0000354	160.5351	3080.444	197701.7	59365.84	2035.877	-23219.6	-49080.16	0	.0830965	-.1667717	-.501678	-.7659457	-.9852459	-.4465882	.5205949	.4589661	.4589661	-1.715755	-.4683492	.2654048	.4683492	Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_D11	SF283	D11	1	4	1	Size	11	D	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 13:46:30	5.766667	3140.207	666213.4	959543.4	347.9584	313.894	292.5781	77384.95	.0313477	.000045	163.7477	7446.899	238330.7	47582.4	-16347.04	16237.94	20093.28	0	.0498212	.5590041	.6384531	.3208232	.2688054	.1213065	1.344434	.8391938	1.179761	-.9279215	.4683492	-.5344601	-.8292257	Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_E06	SF244	E06	1	1	1	Size	6	E	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:50:58	4.833333	3369.356	697645.9	1005750	361.2343	328.7505	315.8276	84936.52	.0241306	9.96e-06	170.916					18751.13	35206.83	1	1.530764	1.069669	.7007746	1.13047	.5785188	1.458047	2.32884	-.5759842	-1.329529					tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_E07	SF252	E07	1	1	1	Size	7	E	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 13:00:47	5	3198.734	671776.1	932088.6	356.4295	308.946	286.0738	75007.33	.0244561	.0000234	165.1655	10377.81	238749.4	68592.23	4594.78	14414.41	-15303.03	1	.501678	.6589408	.5982564	-.0332065	-.4459558	.3163668	1.084494	-.477996	-.5759842	-.4826978	.5011308	.7887937	.6383348	tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_E08	SF260	E08	1	1	1	Size	8	E	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 13:10:47	5.166667	3192.389	527443.9	797266.9	292.8115	254.1226	230.7878	50812.38	.0224847	.000013	159.3541		173282.5	37070.01	-16293.48	-129117.1	-149263.9	1	.4459558	-2.32884	-2.715253	-1.793784	-1.883722	-.605529	-1.099562	-1.289343	-1.052616		-1.056592	-1.288206	-.7887937	tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_E09	SF268	E09	1	1	1	Size	9	E	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 13:21:08	5.35	2998.972	662475	940851.4	302.6372	271.3056	252.0253	57810.67	.0234372	.000028	167.5022		195084.8	35021.36	-21883.54	30323.91	20565.44	1	-.5397	.501678	.8345458	.0664496	.3033943	.669074	-.3559816	-.9143286	-.0341104		-.5011308	-1.522408	-1.108973	tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_E10	SF276	E10	1	1	1	Size	10	E	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 13:35:55	5.583333	3009.894	665256.4	853791.5	289.7037	261.2513	243.3594	53683.47	.0262864	.0000339	161.9944	19768.68	233635.3	59694.82	-3471.919	31726.96	-67976.42	1	-.501678	.5397	.8825426	-1.195765	-1.195765	-.2802179	-.7438725	.0682605	.3661064	.7439668	.404226	.3572158	-.0145739	tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_E11	SF284	E11	1	1	1	Size	11	E	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 13:47:21	5.783333	2775.125	557530.5	871077.9	217.2215	184.1814	169.5313	26647.34	.0304186	.0000414	163.6502	13667.6	207361.8	52158.2	-6740.867	-46370.41	-18834.42	1	-1.266601	-1.648073	-1.069669	-1.040703	-.5205949	.1039092	-2.32884	.7234756	.8887273	-.0540485	-.1315391	-.3417246	-.1021915	tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_E12	SF292	E12	1	1	1	Size	12	E	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 14:00:13	6	3241.635	642796	902450.6	369.434	321.5828	307.2761	81272.89	.0220451	.0000286	162.0956	4545.898	253045	58707.89	-7611.641	-19979.91	-50762.27	1	.8345458	.2175053	-.409573	-.5590041	-1.012585	-.2444316	1.793784	-1.371985	.0341104	-1.588962	.7115489	.1610005	-.2203721	tp53inp1_crispants
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_F01	SF205	F01	1	2	1	Size	1	F	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:00:06	4	3098.773	603288.6	941359.9	317.5374	286.9209	270.7031	64689.33	.0341737	.000021	154.0377					-41457.69	7531.963	0	-.2005383	-.7007746	-.9326642	.0997664	.0332065	-1.137876	.3033943	1.214676	-.6585199					Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_F03	SF221	F03	1	2	1	Size	3	F	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:19:39	4.316667	3132.812	630534.1	893508.3	300.218	260.1031	232.4219	53145.14	.0296615	.0000114	147.5702	20725.71				-18508.03	-44938.35	0	-.0332065	-.0997664	-.3033943	-.7007746	-.9073185	-1.865803	-.7883986	.5559701	-1.251137	.9279215				Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_F04	SF229	F04	1	2	1	Size	4	F	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:29:57	4.483333	3124.973	645487.7	945277.7	355.8397	316.265	296.8855	78566.28	.0293413	.0000415	163.6109	5443.115				-2565.176	7894.611	0	-.0664496	.2516333	.2005383	.1667717	.0498212	.0518845	1.454906	.4972006	.9143286	-1.392427				Controls
InsH2Bfabp_Size_03dpf_VAST02_plate01_TP53INP1_221006_F05	SF237	F05	1	2	1	Size	5	F	matched (3)	insH2Bfabp	Size	TP53INP1	221006	2	3	06oct2022 12:40:48	4.666667	2840.864	566741.9	962803.4	329.8712	298.3129	276.1719	69893.19	.0321664	.0000203	158.0547	17675.17	155323.2	40584.11	-9862.206	-45455.32	63971.1	0	-1.040703	-1.530764	-1.040703	.409573	.9586237	-.7354442	.6182299	.9405437	-.7014965	.4585578	-1.522408	-1.006961	-.3417246	Controls
