index	filename	time	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assay_plate	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	random_nr	assay_jitter	time_jitter	sirt1_dich	intgluc
SIRT1_325	20240516_GGTassay_7dpf_SIRT1_fasted_plate04_E05	0	2	plate04	fasted	5	E	J18	197600	208700	203150	3.863591	NA	196553.8	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	5.560657	15.79732	J	18	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	203150	11100	1.056174	7	.964	.23	1	.8611954
SIRT1_220	20240516_GGTassay_7dpf_SIRT1_fasted_plate03_D04	0	1	plate03	fasted	4	D	H04	63240	57170	60205	7.129206	NA	53608.75	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	1.481403	4.208532	H	4	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	60205	6070	.9040164	54	1.058	2.11	0	-1.487221
SIRT1_500	20240516_GGTassay_7dpf_SIRT1_fasted_plate06_D05	0	2	plate06	fasted	5	D	G18	103400	100300	101850	2.152215	NA	92893.16	.9970179	y = 33764.8363388985 * x + ( -2836.85115240107 )	-2836.851	33764.84	8956.833	1698500	2.835199	8.054542	G	18	20241004_gluGLO_SIRT1-02	2	20240516	GGTassay	SIRT1	fasted	1	7	101850	3100	.9700193	71	2.092	2.79	1	-.364858
SIRT1_104	20240516_GGTassay_7dpf_SIRT1_fasted_plate02_H01	0	2	plate02	fasted	1	H	O14	272800	255600	264200	4.60342	NA	257603.8	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	7.302855	20.74675	O	14	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	264200	17200	.9369501	8	.966	.27	1	1.300358
SIRT1_331	20240516_GGTassay_7dpf_SIRT1_fasted_plate04_C06	0	1	plate04	fasted	6	C	F19	92470	91180	91825	.9933763	NA	85228.75	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	2.38375	6.772018	F	19	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	91825	1290	.9860495	4	.958	.11	0	-.6916925
SIRT1_512	20240516_GGTassay_7dpf_SIRT1_fasted_plate06_H06	0	1	plate06	fasted	6	H	O19	122900	128100	125500	2.929845	NA	116543.2	.9970179	y = 33764.8363388985 * x + ( -2836.85115240107 )	-2836.851	33764.84	8956.833	1698500	3.535631	10.04441	O	19	20241004_gluGLO_SIRT1-02	2	20240516	GGTassay	SIRT1	fasted	1	7	125500	5200	1.042311	48	2.046	1.87	0	.0818291
SIRT1_106	20240516_GGTassay_7dpf_SIRT1_fasted_plate02_B02	0	1	plate02	fasted	2	B	C15	133700	138600	136150	2.544857	NA	129553.8	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	3.648663	10.36552	C	15	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	136150	4900	1.036649	2	.954	.03	0	.1504181
SIRT1_511	20240516_GGTassay_7dpf_SIRT1_fasted_plate06_G06	0	1	plate06	fasted	6	G	M19	40640	38660	39650	3.531075	NA	30693.17	.9970179	y = 33764.8363388985 * x + ( -2836.85115240107 )	-2836.851	33764.84	8956.833	1698500	.9930454	2.821152	M	19	20241004_gluGLO_SIRT1-02	2	20240516	GGTassay	SIRT1	fasted	1	7	39650	1980	.9512795	13	1.976	.47	0	-1.959964
SIRT1_078	20240516_GGTassay_7dpf_SIRT1_fasted_plate01_F10	0	1	plate01	fasted	10	F	K10	244400	231400	237900	3.863971	NA	231303.8	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	6.552326	18.61456	K	10	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	237900	13000	.9468085	87	1.124	3.43	0	1.069637
SIRT1_097	20240516_GGTassay_7dpf_SIRT1_fasted_plate02_A01	0	2	plate02	fasted	1	A	A14	86820	85670	86245	.9428637	NA	79648.75	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	2.224513	6.319638	A	14	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	86245	1150	.9867542	1	.952	-.01	1	-.8147466
SIRT1_330	20240516_GGTassay_7dpf_SIRT1_fasted_plate04_B06	0	1	plate04	fasted	6	B	D19	78230	80850	79540	2.329167	NA	72943.75	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	2.03317	5.776052	D	19	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	79540	2620	1.033491	42	1.034	1.63	0	-.9864486
SIRT1_072	20240516_GGTassay_7dpf_SIRT1_fasted_plate01_H09	0	2	plate01	fasted	9	H	O09	156700	160000	158350	1.473604	NA	151753.8	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	4.282189	12.16531	O	9	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	158350	3300	1.021059	7	.964	.23	1	.4059455
SIRT1_419	20240516_GGTassay_7dpf_SIRT1_fasted_plate05_C07	0	2	plate05	fasted	7	C	E07	113300	109500	111400	2.412034	NA	102443.2	.9970179	y = 33764.8363388985 * x + ( -2836.85115240107 )	-2836.851	33764.84	8956.833	1698500	3.118037	8.858061	E	7	20241004_gluGLO_SIRT1-02	2	20240516	GGTassay	SIRT1	fasted	1	7	111400	3800	.9664607	36	2.022	1.39	1	-.1394046
SIRT1_334	20240516_GGTassay_7dpf_SIRT1_fasted_plate04_F06	0	1	plate04	fasted	6	F	L19	44290	44580	44435	.4614852	NA	37838.75	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	1.031371	2.930032	L	19	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	44435	290	1.006548	66	1.082	2.59	0	-1.858885
SIRT1_068	20240516_GGTassay_7dpf_SIRT1_fasted_plate01_D09	0	2	plate01	fasted	9	D	G09	91690	93410	92550	1.314126	NA	85953.75	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	2.40444	6.830795	G	9	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	92550	1720	1.018759	6	.962	.19	1	-.6642634
SIRT1_322	20240516_GGTassay_7dpf_SIRT1_fasted_plate04_B05	0	2	plate04	fasted	5	B	D18	150800	149000	149900	.8490942	NA	143303.8	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	4.041049	11.48026	D	18	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	149900	1800	.9880636	10	.97	.35	1	.3330051
SIRT1_074	20240516_GGTassay_7dpf_SIRT1_fasted_plate01_B10	0	1	plate01	fasted	10	B	C10	71550	74880	73215	3.216097	NA	66618.75	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	1.852672	5.263274	C	10	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	73215	3330	1.046541	82	1.114	3.23	0	-1.160975
SIRT1_105	20240516_GGTassay_7dpf_SIRT1_fasted_plate02_A02	0	1	plate02	fasted	2	A	A15	64200	65730	64965	1.665317	NA	58368.75	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	1.61724	4.594433	A	15	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	64965	1530	1.023832	10	.97	.35	0	-1.352902
SIRT1_102	20240516_GGTassay_7dpf_SIRT1_fasted_plate02_F01	0	2	plate02	fasted	1	F	K14	85410	85980	85695	.4703318	NA	79098.75	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	2.208817	6.275049	K	14	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	85695	570	1.006674	53	1.056	2.07	1	-.8300301
SIRT1_218	20240516_GGTassay_7dpf_SIRT1_fasted_plate03_B04	0	1	plate03	fasted	4	B	D04	46950	44060	45505	4.4908	NA	38908.75	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	1.061906	3.016778	D	4	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	45505	2890	.9384452	34	1.018	1.31	0	-1.773856
SIRT1_216	20240516_GGTassay_7dpf_SIRT1_fasted_plate03_H03	0	2	plate03	fasted	3	H	P03	108000	102900	105450	3.419862	NA	98853.75	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	2.77257	7.876619	P	3	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	105450	5100	.9527778	95	1.14	3.75	1	-.4118699
SIRT1_214	20240516_GGTassay_7dpf_SIRT1_fasted_plate03_F03	0	2	plate03	fasted	3	F	L03	103800	105300	104550	1.0145	NA	97953.75	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	2.746886	7.803655	L	3	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	104550	1500	1.014451	94	1.138	3.71	1	-.429731
SIRT1_428	20240516_GGTassay_7dpf_SIRT1_fasted_plate05_D08	0	1	plate05	fasted	8	D	G08	93430	99470	96450	4.428123	NA	87493.16	.9970179	y = 33764.8363388985 * x + ( -2836.85115240107 )	-2836.851	33764.84	8956.833	1698500	2.675269	7.600196	G	8	20241004_gluGLO_SIRT1-02	2	20240516	GGTassay	SIRT1	fasted	1	7	96450	6040	1.064647	75	2.1	2.95	0	-.50264
SIRT1_076	20240516_GGTassay_7dpf_SIRT1_fasted_plate01_D10	0	1	plate01	fasted	10	D	G10	82030	79130	80580	2.544812	NA	73983.75	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	2.062849	5.860367	G	10	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	80580	2900	.9646471	77	1.104	3.03	0	-.9430562
SIRT1_336	20240516_GGTassay_7dpf_SIRT1_fasted_plate04_H06	0	1	plate04	fasted	6	H	P19	142300	141200	141750	.5487248	NA	135153.8	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	3.808471	10.81952	P	19	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	141750	1100	.9922699	98	1.146	3.87	0	.2449156
SIRT1_110	20240516_GGTassay_7dpf_SIRT1_fasted_plate02_F02	0	1	plate02	fasted	2	F	K15	38510	40720	39615	3.944733	NA	33018.75	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	.8938217	2.539266	K	15	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	39615	2210	1.057388	54	1.058	2.11	0	-2.136868
SIRT1_497	20240516_GGTassay_7dpf_SIRT1_fasted_plate06_A05	0	2	plate06	fasted	5	A	A18	161800	165600	163700	1.641421	NA	154743.2	.9970179	y = 33764.8363388985 * x + ( -2836.85115240107 )	-2836.851	33764.84	8956.833	1698500	4.666986	13.25848	A	18	20241004_gluGLO_SIRT1-02	2	20240516	GGTassay	SIRT1	fasted	1	7	163700	3800	1.023486	72	2.094	2.83	1	.5464122
SIRT1_224	20240516_GGTassay_7dpf_SIRT1_fasted_plate03_H04	0	1	plate03	fasted	4	H	P04	179000	153600	166300	10.80007	NA	159703.8	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	4.50906	12.80983	P	4	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	166300	25400	.8581005	20	.99	.75	0	.4903121
SIRT1_223	20240516_GGTassay_7dpf_SIRT1_fasted_plate03_G04	0	1	plate03	fasted	4	G	N04	163100	159400	161250	1.622509	NA	154653.8	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	4.364947	12.40042	N	4	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	161250	3700	.9773145	2	.954	.03	0	.435715
SIRT1_213	20240516_GGTassay_7dpf_SIRT1_fasted_plate03_E03	0	2	plate03	fasted	3	E	J03	71110	69950	70530	1.162972	NA	63933.75	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	1.77605	5.045597	J	3	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	70530	1160	.9836872	11	.972	.39	1	-1.239346
SIRT1_335	20240516_GGTassay_7dpf_SIRT1_fasted_plate04_G06	0	1	plate04	fasted	6	G	N19	124100	127400	125750	1.855628	NA	119153.8	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	3.351876	9.522374	N	19	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	125750	3300	1.026591	56	1.062	2.19	0	-.0027246
SIRT1_601	20240516_GGTassay_7dpf_SIRT1_fasted_plate07_A06	0	1	plate07	fasted	6	A	B06	219100	227200	223150	2.566688	NA	214193.2	.9970179	y = 33764.8363388985 * x + ( -2836.85115240107 )	-2836.851	33764.84	8956.833	1698500	6.427693	18.26049	B	6	20241004_gluGLO_SIRT1-02	2	20240516	GGTassay	SIRT1	fasted	1	7	223150	8100	1.036969	16	1.982	.59	0	1.013399
SIRT1_070	20240516_GGTassay_7dpf_SIRT1_fasted_plate01_F09	0	2	plate01	fasted	9	F	K09	84250	87540	85895	2.708401	NA	79298.75	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	2.214525	6.291263	K	9	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	85895	3290	1.03905	35	1.02	1.35	1	-.8223643
SIRT1_502	20240516_GGTassay_7dpf_SIRT1_fasted_plate06_F05	0	2	plate06	fasted	5	F	K18	269100	294500	281800	6.373496	NA	272843.2	.9970179	y = 33764.8363388985 * x + ( -2836.85115240107 )	-2836.851	33764.84	8956.833	1698500	8.164707	23.19519	K	18	20241004_gluGLO_SIRT1-02	2	20240516	GGTassay	SIRT1	fasted	1	7	281800	25400	1.094389	68	2.086	2.67	1	1.575169
SIRT1_112	20240516_GGTassay_7dpf_SIRT1_fasted_plate02_H02	0	1	plate02	fasted	2	H	O15	216500	229000	222750	3.968051	NA	216153.8	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	6.119987	17.38633	O	15	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	222750	12500	1.057737	2	.954	.03	0	.9601961
SIRT1_066	20240516_GGTassay_7dpf_SIRT1_fasted_plate01_B09	0	2	plate01	fasted	9	B	C09	106500	120000	113250	8.429088	NA	106653.8	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	2.99516	8.508978	C	9	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	113250	13500	1.126761	41	1.032	1.59	1	-.2449156
SIRT1_329	20240516_GGTassay_7dpf_SIRT1_fasted_plate04_A06	0	1	plate04	fasted	6	A	B19	25320	25480	25400	.4454216	NA	18803.75	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	.4881651	1.386832	B	19	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	25400	160	1.006319	93	1.136	3.67	0	-2.546865
SIRT1_326	20240516_GGTassay_7dpf_SIRT1_fasted_plate04_F05	0	2	plate04	fasted	5	F	L18	102800	96930	99865	4.156328	NA	93268.75	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	2.61319	7.423834	L	18	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	99865	5870	.9428988	38	1.026	1.47	1	-.5338024
SIRT1_498	20240516_GGTassay_7dpf_SIRT1_fasted_plate06_B05	0	2	plate06	fasted	5	B	C18	55070	57590	56330	3.163339	NA	47373.17	.9970179	y = 33764.8363388985 * x + ( -2836.85115240107 )	-2836.851	33764.84	8956.833	1698500	1.487051	4.224576	C	18	20241004_gluGLO_SIRT1-02	2	20240516	GGTassay	SIRT1	fasted	1	7	56330	2520	1.04576	97	2.144	3.83	1	-1.470951
SIRT1_219	20240516_GGTassay_7dpf_SIRT1_fasted_plate03_C04	0	1	plate03	fasted	4	C	F04	101100	91750	96425	6.856571	NA	89828.75	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	2.515022	7.144948	F	4	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	96425	9350	.9075173	28	1.006	1.07	0	-.5977601
SIRT1_332	20240516_GGTassay_7dpf_SIRT1_fasted_plate04_D06	0	1	plate04	fasted	6	D	H19	118300	118300	118300	0	NA	111703.8	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	3.139273	8.91839	H	19	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	118300	0	1	59	1.068	2.31	0	-.128408
SIRT1_324	20240516_GGTassay_7dpf_SIRT1_fasted_plate04_D05	0	2	plate04	fasted	5	D	H18	143200	148300	145750	2.474267	NA	139153.8	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	3.92262	11.14381	H	18	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	145750	5100	1.035614	81	1.112	3.19	1	.2787525
SIRT1_430	20240516_GGTassay_7dpf_SIRT1_fasted_plate05_F08	0	1	plate05	fasted	8	F	K08	62020	58290	60155	4.384521	NA	51198.17	.9970179	y = 33764.8363388985 * x + ( -2836.85115240107 )	-2836.851	33764.84	8956.833	1698500	1.600334	4.546403	K	8	20241004_gluGLO_SIRT1-02	2	20240516	GGTassay	SIRT1	fasted	1	7	60155	3730	.9398581	74	2.098	2.91	0	-1.394908
SIRT1_333	20240516_GGTassay_7dpf_SIRT1_fasted_plate04_E06	0	1	plate04	fasted	6	E	J19	67880	67270	67575	.6383058	NA	60978.75	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	1.691723	4.80603	J	19	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	67575	610	.9910135	90	1.13	3.55	0	-1.313156
SIRT1_432	20240516_GGTassay_7dpf_SIRT1_fasted_plate05_H08	0	1	plate05	fasted	8	H	O08	73530	61340	67435	12.78213	NA	58478.17	.9970179	y = 33764.8363388985 * x + ( -2836.85115240107 )	-2836.851	33764.84	8956.833	1698500	1.815943	5.158929	O	8	20241004_gluGLO_SIRT1-02	2	20240516	GGTassay	SIRT1	fasted	1	7	67435	12190	.8342173	98	2.146	3.87	0	-1.216189
SIRT1_107	20240516_GGTassay_7dpf_SIRT1_fasted_plate02_C02	0	1	plate02	fasted	2	C	E15	140000	143300	141650	1.647337	NA	135053.8	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	3.805618	10.81141	E	15	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	141650	3300	1.023571	33	1.016	1.27	0	.2253087
SIRT1_210	20240516_GGTassay_7dpf_SIRT1_fasted_plate03_B03	0	2	plate03	fasted	3	B	D03	148100	128400	138250	10.07595	NA	131653.8	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	3.708591	10.53577	D	3	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	138250	19700	.8669817	22	.994	.83	1	.1918929
SIRT1_431	20240516_GGTassay_7dpf_SIRT1_fasted_plate05_G08	0	1	plate05	fasted	8	G	M08	98370	95740	97055	1.916121	NA	88098.16	.9970179	y = 33764.8363388985 * x + ( -2836.85115240107 )	-2836.851	33764.84	8956.833	1698500	2.693187	7.651099	M	8	20241004_gluGLO_SIRT1-02	2	20240516	GGTassay	SIRT1	fasted	1	7	97055	2630	.9732642	44	2.038	1.71	0	-.4841761
SIRT1_321	20240516_GGTassay_7dpf_SIRT1_fasted_plate04_A05	0	2	plate04	fasted	5	A	B18	88970	87760	88365	.9682558	NA	81768.75	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	2.285012	6.49151	B	18	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	88365	1210	.9863999	37	1.024	1.43	1	-.7773429
SIRT1_422	20240516_GGTassay_7dpf_SIRT1_fasted_plate05_F07	0	2	plate05	fasted	7	F	K07	77620	80710	79165	2.760008	NA	70208.16	.9970179	y = 33764.8363388985 * x + ( -2836.85115240107 )	-2836.851	33764.84	8956.833	1698500	2.163346	6.145869	K	7	20241004_gluGLO_SIRT1-02	2	20240516	GGTassay	SIRT1	fasted	1	7	79165	3090	1.039809	40	2.03	1.55	1	-.869118
SIRT1_100	20240516_GGTassay_7dpf_SIRT1_fasted_plate02_D01	0	2	plate02	fasted	1	D	G14	104000	105200	104600	.8112124	NA	98003.75	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	2.748313	7.807708	G	14	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	104600	1200	1.011539	49	1.048	1.91	1	-.4237624
